cas,smiles
64-19-7,O=C(O)C
76-05-1,O=C(O)C(F)(F)F
56-40-6,O=C(O)CN
72-19-5,O=C(O)C(N)C(O)C
110-17-8,O=C(O)C=CC(=O)O
58-85-5,O=C1NC2CSC(CCCCC(=O)O)C2N1
63-91-2,O=C(O)C(N)CC=1C=CC=CC1
72-18-4,O=C(O)C(N)C(C)C
65-85-0,O=C(O)C=1C=CC=CC1
61-90-5,O=C(O)C(N)CC(C)C
70-18-8,O=C(O)CNC(=O)C(NC(=O)CCC(N)C(=O)O)CS
56-86-0,O=C(O)CCC(N)C(=O)O
112-80-1,O=C(O)CCCCCCCC=CCCCCCCCC
56-41-7,O=C(O)C(N)C
144-62-7,O=C(O)C(=O)O
76-03-9,O=C(O)C(Cl)(Cl)Cl
110-15-6,O=C(O)CCC(=O)O
73-32-5,O=C(O)C(N)C(C)CC
56-85-9,O=C(O)C(N)CCC(=O)N
73-22-3,O=C(O)C(N)CC1=CNC=2C=CC=CC21
147-85-3,O=C(O)C1NCCC1
77-92-9,O=C(O)CC(O)(C(=O)O)CC(=O)O
1077-28-7,O=C(O)CCCCC1SSCC1
59-67-6,O=C(O)C=1C=NC=CC1
56-84-8,O=C(O)CC(N)C(=O)O
63-68-3,O=C(O)C(N)CCSC
74-79-3,O=C(O)C(N)CCCNC(=N)N
57-10-3,O=C(O)CCCCCCCCCCCCCCC
56-45-1,O=C(O)C(N)CO
69-72-7,O=C(O)C=1C=CC=CC1O
56-89-3,O=C(O)C(N)CSSCC(N)C(=O)O
60-18-4,O=C(O)C(N)CC1=CC=C(O)C=C1
140-10-3,O=C(O)C=CC=1C=CC=CC1
60-33-3,O=C(O)CCCCCCCC=CCC=CCCCCC
110-44-1,O=C(O)C=CC=CC
87-69-4,O=C(O)C(O)C(O)C(=O)O
51-35-4,O=C(O)C1NCC(O)C1
52-90-4,O=C(O)C(N)CS
15687-27-1,O=C(O)C(C1=CC=C(C=C1)CC(C)C)C
493-52-7,O=C(O)C=1C=CC=CC1N=NC2=CC=C(C=C2)N(C)C
402-61-9,O=C(O)C1=NNC(=C1)C
71-00-1,O=C(O)C(N)CC1=CN=CN1
59-30-3,O=C1N=C(N=C2NC=C(N=C12)CNC3=CC=C(C=C3)C(=O)NC(C(=O)O)CCC(=O)O)N
6915-15-7,O=C(O)CC(O)C(=O)O
56-12-2,O=C(O)CCCN
302-79-4,O=C(O)C=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C
57-11-4,O=C(O)CCCCCCCCCCCCCCCCC
616-91-1,O=C(O)C(NC(=O)C)CS
59-92-7,O=C(O)C(N)CC1=CC=C(O)C(O)=C1
79-14-1,O=C(O)CO
60-00-4,O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O
50-21-5,O=C(O)C(O)C
110-16-7,O=C(O)C=CC(=O)O
60-32-2,O=C(O)CCCCCN
99-96-7,O=C(O)C1=CC=C(O)C=C1
107-43-7,O=C([O-])C[N+](C)(C)C
150-13-0,O=C(O)C1=CC=C(N)C=C1
372-75-8,O=C(N)NCCCC(N)C(=O)O
99-50-3,O=C(O)C1=CC=C(O)C(O)=C1
1621-91-6,O=C(O)C1=NNC=C1
131-48-6,O=C(O)C(=O)CC(O)C(NC(=O)C)C(O)C(O)C(O)CO
89-57-6,O=C(O)C1=CC(N)=CC=C1O
107-95-9,O=C(O)CCN
544-63-8,O=C(O)CCCCCCCCCCCCC
541-15-1,O=C([O-])CC(O)C[N+](C)(C)C
331-39-5,O=C(O)C=CC1=CC=C(O)C(O)=C1
97-67-6,O=C(O)CC(O)C(=O)O
327-97-9,O=C(O)C1(O)CC(O)C(O)C(OC(=O)C=CC2=CC=C(O)C(O)=C2)C1
50-78-2,O=C(O)C=1C=CC=CC1OC(=O)C
828-51-3,O=C(O)C12CC3CC(CC(C3)C1)C2
463-40-1,O=C(O)CCCCCCCC=CCC=CCC=CCC
24280-93-1,O=C1OCC2=C1C(O)=C(C(OC)=C2C)CC=C(C)CCC(=O)O
143-07-7,O=C(O)CCCCCCCCCCC
112-85-6,O=C(O)CCCCCCCCCCCCCCCCCCCCC
124-07-2,O=C(O)CCCCCCC
556-50-3,O=C(O)CNC(=O)CN
67-42-5,O=C(O)CN(CC(=O)O)CCOCCOCCN(CC(=O)O)CC(=O)O
123-99-9,O=C(O)CCCCCCCC(=O)O
490-79-9,O=C(O)C1=CC(O)=CC=C1O
77-06-5,O=C(O)C1C2C3(OC(=O)C2(C)C(O)C=C3)C4CCC5(O)C(=C)CC14C5
552-63-6,O=C(O)C(C=1C=CC=CC1)CO
91809-66-4,O=C([O-])C=1C=C(C=CC1C=2C=3C=CC(=CC3[O+]=C4C=C(C=CC42)N(C)C)N(C)C)C(=O)O
506-32-1,O=C(O)CCCC=CCC=CCC=CCC=CCCCCC
1197-18-8,O=C(O)C1CCC(CN)CC1
495-69-2,O=C(O)CNC(=O)C=1C=CC=CC1
98-79-3,O=C(O)C1NC(=O)CC1
5104-49-4,O=C(O)C(C=1C=CC(=C(F)C1)C=2C=CC=CC2)C
328-50-7,O=C(O)C(=O)CCC(=O)O
70-47-3,O=C(O)C(N)CC(=O)N
90-64-2,O=C(O)C(O)C=1C=CC=CC1
89-00-9,O=C(O)C1=NC=CC=C1C(=O)O
22071-15-4,O=C(O)C(C=1C=CC=C(C1)C(=O)C=2C=CC=CC2)C
87-51-4,O=C(O)CC1=CNC=2C=CC=CC21
133-32-4,O=C(O)CCCC1=CNC=2C=CC=CC21
305-84-0,O=C(O)C(NC(=O)CCN)CC1=CN=CN1
82419-36-1,O=C(O)C1=CN2C3=C(OCC2C)C(=C(F)C=C3C1=O)N4CCN(C)CC4
5006-66-6,O=C(O)C=1C=CC(=O)NC1
501-98-4,O=C(O)C=CC1=CC=C(O)C=C1
112811-59-3,O=C(O)C1=CN(C2=C(OC)C(=C(F)C=C2C1=O)N3CCNC(C)C3)C4CC4
59-51-8,O=C(O)C(N)CCSC
6556-12-3,O=CC(O)C(O)C(O)C(O)C(=O)O
537-98-4,O=C(O)C=CC1=CC=C(O)C(OC)=C1
55-22-1,O=C(O)C=1C=CN=CC1
138-59-0,O=C(O)C1=CC(O)C(O)C(O)C1
62571-86-2,O=C(O)C1N(C(=O)C(C)CS)CCC1
474-25-9,O=C(O)CCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C
124-04-9,O=C(O)CCCCC(=O)O
535-75-1,O=C(O)C1NCCCC1
39537-23-0,O=C(O)C(NC(=O)C(N)C)CCC(=O)N
53-86-1,O=C(O)CC=1C=2C=C(OC)C=CC2N(C(=O)C3=CC=C(Cl)C=C3)C1C
81-25-4,O=C(O)CCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
56-91-7,O=C(O)C1=CC=C(C=C1)CN
60142-96-3,O=C(O)CC1(CN)CCCCC1
158063-66-2,O=C(O)C=1C=NC=CC1C(F)(F)F
3663-80-7,O=C(O)C1OC=2C=CC=CC2OC1
5071-61-4,O=C(O)C1=NNC(=C1)C=2C=CC=CC2
128-13-2,O=C(O)CCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C
363-24-6,O=C(O)CCCC=CCC1C(=O)CC(O)C1C=CC(O)CCCCC
338-69-2,O=C(O)C(N)C
2942-59-8,O=C(O)C1=CC=CN=C1Cl
7579-20-6,O=C(O)C=1C=CN=CC1N
874-24-8,O=C(O)C1=NC=CC=C1O
478-43-3,O=C(O)C1=CC(O)=C2C(=O)C=3C(O)=CC=CC3C(=O)C2=C1
107-97-1,O=C(O)CNC
3081-61-6,O=C(O)C(N)CCC(=O)NCC
149-91-7,O=C(O)C1=CC(O)=C(O)C(O)=C1
5704-04-1,O=C(O)CNC(CO)(CO)CO
56-87-1,O=C(O)C(N)CCCCN
22204-53-1,O=C(O)C(C1=CC=C2C=C(OC)C=CC2=C1)C
70458-96-7,O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCNCC3)CC
20283-92-5,O=C(OC(C(=O)O)CC1=CC=C(O)C(O)=C1)C=CC2=CC=C(O)C(O)=C2
21967-41-9,O=C(O)C1OC(OC=2C=C3OC(=CC(=O)C3=C(O)C2O)C=4C=CC=CC4)C(O)C(O)C1O
634-97-9,O=C(O)C1=CC=CN1
121-34-6,O=C(O)C1=CC=C(O)C(OC)=C1
611-71-2,O=C(O)C(O)C=1C=CC=CC1
100-09-4,O=C(O)C1=CC=C(OC)C=C1
99-10-5,O=C(O)C=1C=C(O)C=C(O)C1
303-38-8,O=C(O)C=1C=CC=C(O)C1O
1134-47-0,O=C(O)CC(C1=CC=C(Cl)C=C1)CN
79-33-4,O=C(O)C(O)C
99-66-1,O=C(O)C(CCC)CCC
2517-04-6,O=C(O)C1NCC1
5337-03-1,O=C(O)C1CCOCC1
4530-20-5,O=C(OC(C)(C)C)NCC(=O)O
23945-44-0,O=C(O)C1=CNC(=O)NC1=O
501-97-3,O=C(O)CCC1=CC=C(O)C=C1
1075-06-5,O=C(C=1C=CC=CC1)C(O)O
71989-23-6,O=C(OCC1C=2C=CC=CC2C=3C=CC=CC31)NC(C(=O)O)C(C)CC
300-85-6,O=C(O)CC(O)C
52-67-5,O=C(O)C(N)C(S)(C)C
506-30-9,O=C(O)CCCCCCCCCCCCCCCCCCC
312-84-5,O=C(O)C(N)CO
3238-40-2,O=C(O)C=1OC(=CC1)C(=O)O
6217-54-5,O=C(O)CCC=CCC=CCC=CCC=CCC=CCC=CCC
15761-38-3,O=C(OC(C)(C)C)NC(C(=O)O)C
98-98-6,O=C(O)C1=NC=CC=C1
156-38-7,O=C(O)CC1=CC=C(O)C=C1
86-87-3,O=C(O)CC1=CC=CC=2C=CC=CC21
389-08-2,O=C(O)C1=CN(C2=NC(=CC=C2C1=O)C)CC
22839-47-0,O=C(O)CC(N)C(=O)NC(C(=O)OC)CC=1C=CC=CC1
137862-53-4,O=C(O)C(N(C(=O)CCCC)CC=1C=CC(=CC1)C=2C=CC=CC2C3=NN=NN3)C(C)C
22059-21-8,O=C(O)C1(N)CC1
334-48-5,O=C(O)CCCCCCCCC
6089-09-4,O=C(O)CCC#C
24065-33-6,O=C(O)C=1SC(Cl)=CC1
92933-47-6,O=C(O)C1=NNC(=C1)C(C)C
530-57-4,O=C(O)C1=CC(OC)=C(O)C(OC)=C1
619-66-9,O=CC1=CC=C(C=C1)C(=O)O
4684-94-0,O=C(O)C1=NC(Cl)=CC=C1
55-10-7,O=C(O)C(O)C1=CC=C(O)C(OC)=C1
54-16-0,O=C(O)CC1=CNC=2C=CC(O)=CC21
71989-38-3,O=C(OCC1C=2C=CC=CC2C=3C=CC=CC31)NC(C(=O)O)CC4=CC=C(OC(C)(C)C)C=C4
144-90-1,O=C(O)C(C)CN
375-22-4,O=C(O)C(F)(F)C(F)(F)C(F)(F)F
579-75-9,O=C(O)C=1C=CC=CC1OC
150-25-4,O=C(O)CN(CCO)CCO
611-73-4,O=C(O)C(=O)C=1C=CC=CC1
93-07-2,O=C(O)C1=CC=C(OC)C(OC)=C1
106-14-9,O=C(O)CCCCCCCCCCC(O)CCCCCC
21190-87-4,O=C(O)C1=NC(Br)=CC=C1
84358-13-4,O=C(OC(C)(C)C)N1CCC(C(=O)O)CC1
198348-89-9,O=C(O)C1=NNC(=C1)N(=O)=O
93-10-7,O=C(O)C=1N=C2C=CC=CC2=CC1
59-05-2,O=C(O)CCC(NC(=O)C1=CC=C(C=C1)N(C)CC=2N=C3C(=NC2)N=C(N=C3N)N)C(=O)O
99-94-5,O=C(O)C1=CC=C(C=C1)C
422-64-0,O=C(O)C(F)(F)C(F)(F)F
74-11-3,O=C(O)C1=CC=C(Cl)C=C1
62-23-7,O=C(O)C1=CC=C(C=C1)N(=O)=O
5326-23-8,O=C(O)C1=CN=C(Cl)C=C1
73027-79-9,O=C(O)C1=CN=C(Cl)C=C1Cl
3970-35-2,O=C(O)C1=CC=CC(=C1Cl)N(=O)=O
69-78-3,O=C(O)C1=CC(SSC2=CC=C(C(=C2)C(=O)O)N(=O)=O)=CC=C1N(=O)=O
35661-39-3,O=C(OCC1C=2C=CC=CC2C=3C=CC=CC31)NC(C(=O)O)C
508-02-1,O=C(O)C12CCC(C)(C)CC2C3=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CC1
85721-33-1,O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCNCC3)C4CC4
62-57-7,O=C(O)C(N)(C)C
503-74-2,O=C(O)CC(C)C
40704-11-8,O=C(O)C1=CNN=C1C
586-76-5,O=C(O)C1=CC=C(Br)C=C1
104-01-8,O=C(O)CC1=CC=C(OC)C=C1
13745-17-0,O=C(O)C1=NNC=C1Br
501-52-0,O=C(O)CCC=1C=CC=CC1
50-84-0,O=C(O)C1=CC=C(Cl)C=C1Cl
3006-96-0,O=C(O)C1=CC=C(C=C1)CO
581-96-4,O=C(O)CC=1C=CC=2C=CC=CC2C1
84358-12-3,O=C(OC(C)(C)C)N1CCCC(C(=O)O)C1
78348-24-0,O=C(O)C1NC=2C=CC=CC2C1
106685-40-9,O=C(O)C=1C=CC2=CC(=CC=C2C1)C=3C=CC(OC)=C(C3)C45CC6CC(CC(C6)C4)C5
93106-60-6,O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(CC)CC3)C4CC4
83-44-3,O=C(O)CCC(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C
111-16-0,O=C(O)CCCCCC(=O)O
609-36-9,O=C(O)C1NCCC1
488-93-7,O=C(O)C1=COC=C1
23761-23-1,O=C(O)C1CC(=O)C1
4376-18-5,O=C(O)C=1C=CC=CC1C(=O)OC
102-32-9,O=C(O)CC1=CC=C(O)C(O)=C1
771-50-6,O=C(O)C1=CNC=2C=CC=CC21
879-65-2,O=C(O)C1=NC2=CC=CC=C2N=C1
67-43-6,O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC(=O)O
4498-67-3,O=C(O)C1=NNC=2C=CC=CC12
99199-60-7,O=C(O)C1OC2=CC=C(F)C=C2CC1
38194-50-2,O=C(O)CC=1C=2C=C(F)C=CC2C(=CC3=CC=C(C=C3)S(=O)C)C1C
594-61-6,O=C(O)C(O)(C)C
1492-24-6,O=C(O)C(N)CC
112-37-8,O=C(O)CCCCCCCCCC
344-25-2,O=C(O)C1NCCC1
14292-26-3,O=C(O)CC(O)CCCCCCC
118-91-2,O=C(O)C=1C=CC=CC1Cl
112811-65-1,O=C(O)C1=CC(F)=C(F)C(OC)=C1F
112-38-9,O=C(O)CCCCCCCCC=C
