cas,smiles,canonical_smiles,pka_value
64-19-7,O=C(O)C,CC(=O)O,4.645133333333334
76-05-1,O=C(O)C(F)(F)F,O=C(O)C(F)(F)F,0.52
56-40-6,O=C(O)CN,NCC(=O)O,9.746006666666666
72-19-5,O=C(O)C(N)C(O)C,CC(O)C(N)C(=O)O,9.03
65-85-0,O=C(O)C=1C=CC=CC1,O=C(O)c1ccccc1,4.093071428571428
56-41-7,O=C(O)C(N)C,CC(N)C(=O)O,9.906
144-62-7,O=C(O)C(=O)O,O=C(O)C(=O)O,1.1902222222222223
76-03-9,O=C(O)C(Cl)(Cl)Cl,O=C(O)C(Cl)(Cl)Cl,0.001
110-15-6,O=C(O)CCC(=O)O,O=C(O)CCC(=O)O,4.2738
77-92-9,O=C(O)CC(O)(C(=O)O)CC(=O)O,O=C(O)CC(O)(CC(=O)O)C(=O)O,3.035
59-67-6,O=C(O)C=1C=NC=CC1,O=C(O)c1cccnc1,4.7725
69-72-7,O=C(O)C=1C=CC=CC1O,O=C(O)c1ccccc1O,2.9423076923076925
60-33-3,O=C(O)CCCCCCCC=CCC=CCCCCC,CCCCCC=CCC=CCCCCCCCC(=O)O,4.77
87-69-4,O=C(O)C(O)C(O)C(=O)O,O=C(O)C(O)C(O)C(=O)O,2.6
6915-15-7,O=C(O)CC(O)C(=O)O,O=C(O)CC(O)C(=O)O,3.22725
56-12-2,O=C(O)CCCN,NCCCC(=O)O,10.515175
79-14-1,O=C(O)CO,O=C(O)CO,3.995
60-00-4,O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,2.6500000000000004
60-32-2,O=C(O)CCCCCN,NCCCCCC(=O)O,10.808
99-96-7,O=C(O)C1=CC=C(O)C=C1,O=C(O)c1ccc(O)cc1,4.566666666666666
150-13-0,O=C(O)C1=CC=C(N)C=C1,Nc1ccc(C(=O)O)cc1,4.832833333333333
99-50-3,O=C(O)C1=CC=C(O)C(O)=C1,O=C(O)c1ccc(O)c(O)c1,4.3755
1621-91-6,O=C(O)C1=NNC=C1,O=C(O)c1cc[nH]n1,3.74
107-95-9,O=C(O)CCN,NCCC(=O)O,10.2552
331-39-5,O=C(O)C=CC1=CC=C(O)C(O)=C1,O=C(O)C=Cc1ccc(O)c(O)c1,4.555
97-67-6,O=C(O)CC(O)C(=O)O,O=C(O)CC(O)C(=O)O,3.22725
50-78-2,O=C(O)C=1C=CC=CC1OC(=O)C,CC(=O)Oc1ccccc1C(=O)O,3.38
556-50-3,O=C(O)CNC(=O)CN,NCC(=O)NCC(=O)O,8.231928571428572
123-99-9,O=C(O)CCCCCCCC(=O)O,O=C(O)CCCCCCCC(=O)O,4.56
490-79-9,O=C(O)C1=CC(O)=CC=C1O,O=C(O)c1cc(O)ccc1O,2.9655
90-64-2,O=C(O)C(O)C=1C=CC=CC1,O=C(O)C(O)c1ccccc1,3.165
89-00-9,O=C(O)C1=NC=CC=C1C(=O)O,O=C(O)c1cccnc1C(=O)O,4.75
55-22-1,O=C(O)C=1C=CN=CC1,O=C(O)c1ccncc1,4.876666666666666
124-04-9,O=C(O)CCCCC(=O)O,O=C(O)CCCCC(=O)O,4.386666666666667
338-69-2,O=C(O)C(N)C,CC(N)C(=O)O,9.906
874-24-8,O=C(O)C1=NC=CC=C1O,O=C(O)c1ncccc1O,5.17
107-97-1,O=C(O)CNC,CNCC(=O)O,10.058333333333332
149-91-7,O=C(O)C1=CC(O)=C(O)C(O)=C1,O=C(O)c1cc(O)c(O)c(O)c1,4.27
634-97-9,O=C(O)C1=CC=CN1,O=C(O)c1ccc[nH]1,4.475
121-34-6,O=C(O)C1=CC=C(O)C(OC)=C1,COc1cc(C(=O)O)ccc1O,4.49
611-71-2,O=C(O)C(O)C=1C=CC=CC1,O=C(O)C(O)c1ccccc1,3.165
100-09-4,O=C(O)C1=CC=C(OC)C=C1,COc1ccc(C(=O)O)cc1,4.2783750000000005
99-10-5,O=C(O)C=1C=C(O)C=C(O)C1,O=C(O)c1cc(O)cc(O)c1,4.039
303-38-8,O=C(O)C=1C=CC=C(O)C1O,O=C(O)c1cccc(O)c1O,2.914
23945-44-0,O=C(O)C1=CNC(=O)NC1=O,O=C(O)c1c[nH]c(=O)[nH]c1=O,4.16
