Smiles,pKa,predicted_pKa
BrC1=C(C=CC=C1)/C=C/C(=O)O,4.23,4.36
C(C)(=O)NC1=CC=C(C=C1)[C@H]1[C@@H](C1)C(=O)O,4.57,4.59
C1(=CC=CC=C1)/C=C/C(=O)O,4.46,4.49
C1(=CC=CC=C1)[C@H]1[C@@H](C1)C(=O)O,4.57,4.57
C1(=CC=CC=C1)\C=C/C(=O)O,3.93,4.49
C1[C@H]([C@@H](CC2=CC=CC=C12)N(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,2.2,2.02
C=C(C)c1ccc(C(=O)O)cc1,4.04,4.13
C=CCc1ccc(C(=O)O)cc1,4.34,4.31
C=CCc1cccc(C(=O)O)c1,4.32,4.02
CC(=O)NC(Cc1cc(I)c(O)c(I)c1)C(=O)O,7.12,3.34
CC(=O)NC(Cc1ccc(O)c(I)c1)C(=O)O,8.83,3.37
CC(=O)NCC(=O)NC(Cc1c[nH]cn1)C(=O)NCC(=O)O,6.86,3.49
CC(=O)NCC(=O)NC(Cc1cn(Cc2ccccc2)cn1)C(=O)NCC(=O)O,6.37,3.49
CC(=O)NCC(=O)NCC(=O)NC(Cc1c[nH]cn1)C(=O)O,7.18,3.38
CC(=O)NCC(=O)NCC(=O)NCC(=O)NC(Cc1c[nH]cn1)C(=O)O,7.21,3.38
CC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)NCC(=O)O,6.9,3.49
CC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,7.18,3.38
CC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,7.11,3.38
CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,7.08,3.32
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,10.11,3.33
CC(=O)Nc1cccc(C(=O)O)c1,4.03,4.42
CC(=O)Oc1ccc(C(=O)O)cc1,3.92,4.51
CC(=O)Oc1ccccc1C(=O)O,3.38,3.84
CC(=O)c1ccc(C(=O)O)cc1,3.7,3.88
CC(=O)c1ccc(CC(=O)O)s1,3.76,3.81
CC(=O)c1ccc(OCC(=O)O)cc1,2.81,3.38
CC(=O)c1cccc(C(=O)O)c1,3.827,3.84
CC(=O)c1cccc(NCC(=O)O)c1,3.93,3.54
CC(=O)c1ccccc1C(=O)O,4.123,3.84
CC(C(=O)O)c1ccccc1,4.3,4.4
CC(C)(C)C1CCC(C(=O)O)C(C(=O)O)C1,4.29,3.59
CC(C)(C)c1ccc(C(=O)O)cc1,4.382,4.39
CC(C)(C)c1ccc(S(=O)(=O)CC(=O)O)cc1,2.598,2.74
CC(C)(C)c1ccc(S(=O)CC(=O)O)cc1,2.773,2.79
CC(C)(C)c1ccc(SCC(=O)O)cc1,3.758,3.72
CC(C)(C)c1cccc(C(=O)O)c1,4.204,4.25
CC(C)c1ccc(C(=O)O)cc1,4.36,4.31
CC(C)c1ccc(C(O)C(=O)O)cc1,3.64,3.72
CC(C)c1cccc(C(=O)O)c1O,2.76,3.18
CC(C)c1csc(C(=O)O)c1,3.66,3.46
CC(CC(=O)O)(CC(=O)O)c1ccccc1,4.12,4.16
CC(CC(=O)O)C1(C)N=N1,4.5,3.63
CC(CC(=O)O)c1ccccc1,4.4,4.54
CC(CCC(=O)O)c1ccccc1,4.7,4.75
CC(CCCC(=O)O)c1ccccc1,4.8,4.9
CC(SC(C(=O)O)c1ccccc1)C(=O)O,2.94,3.25
CC1(C)SCNC1C(=O)O,5.98,2.0
CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O,4.9,2.53
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,7.24,2.47
CC1(C)[C@H](C(=O)O)[C@@H]1C(=O)O,2.5733333333333333,3.55
CC1(CC(=O)O)N=N1,3.9,3.04
CC1(CC(C(=O)O)c2ccccc2)N=N1,3.9,3.6
CC1(CCC(=O)O)N=N1,4.4,3.85
CC1(CCCCC(=O)O)N=N1,4.7,4.24
CC=Cc1ccc(C(=O)O)cc1,4.49,4.07
CC=Cc1cccc(C(=O)O)c1,4.25,4.0
CCC(C(=O)O)(C(=O)O)c1ccccc1,1.9,2.7
CCC(CC(=O)O)(CC(=O)O)c1ccccc1,3.89,3.94
CCCC(=O)c1ccccc1C(=O)O,4.45,3.88
CCCC(CC(=O)O)(CC(=O)O)c1ccccc1,3.88,3.85
CCCCc1ccc(C(O)C(=O)O)cc1,3.58,3.76
CCOC(=O)CNc1ccc(C(=O)O)cc1,4.88,4.52
CCOC(=O)CNc1cccc(C(=O)O)c1,4.3,4.42
CCOC(=O)c1cc(=O)cc(C(=O)O)o1,1.28,1.4
CCOP(=O)(OCC)c1ccc(C(=O)O)cc1,3.63,4.02
CCOP(=O)(OCC)c1cccc(C(=O)O)c1,3.73,3.85
CCOc1ccc(C(=O)O)c(C(=O)O)c1,2.74,3.69
CCOc1ccc(C(=O)O)c(O)c1,3.2,3.48
CCOc1nc(NCC(=O)O)c(N)c(C(=O)O)n1,7.33,1.09
CCOc1nc2c(c(C(=O)O)n1)N=C(O)CN2,5.31,0.47
CCSc1nc(=O)c(C(=O)O)c[nH]1,6.01,2.47
CCc1ccc(C(=O)O)s1,3.7,3.28
CCc1ccc(C(O)C(=O)O)cc1,3.55,3.72
CN(C)C12CCC(C(=O)O)(CC1)C2,3.716,3.48
CN(C)C12CCC(C(=O)O)(CC1)CC2,4.083,5.72
CN(C)c1ccc(/N=N/c2ccccc2C(=O)O)cc1,4.82,2.73
CN(C)c1ccc(C(=O)O)cc1,5.03,4.65
CN(C)c1cccc(C(=O)O)c1,5.1,4.38
CN(C)c1ccccc1C(=O)O,8.5,8.68
CN(C)c1nc(NCC(=O)O)c(N)c(C(=O)O)n1,9.81,1.12
CN(C)c1nc2c(c(C(=O)O)n1)N=C(O)CN2,7.31,0.45
CN(CC(=O)O)C1CCCCC1,10.71,2.27
CN1C2CCC1[C@H](C(=O)O)[C@@H](O)C2,9.7,2.8
CN1CCC=C(C(=O)O)C1,9.07,3.34
CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](O)C2,11.03,2.8
CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](OC(=O)c1ccccc1)C2,11.8,2.9
CNc1ccc(C(=O)O)cc1,5.04,4.52
CNc1cccc(C(=O)O)c1,5.1,4.43
