SMILES,pka_value
Br/C=C/C(=O)O,3.71
BrC1=C(C=CC=C1)/C=C/C(=O)O,4.23
Br\C=C/C(=O)O,3.32
C#CC#CC#CC(=O)O,1.67
C#CC(=O)O,1.8635000000000002
C#CCC(=O)O,3.32
C#CCCC(=O)O,4.2
C#CCCCC(=O)O,4.59
C#CCCCCC(=O)O,4.57
C(C)(=O)NC1=CC=C(C=C1)[C@H]1[C@@H](C1)C(=O)O,4.57
C(\C=C/CC)(=O)O,4.7
C(\C=C/CCC)(=O)O,4.63
C(\C=C/CCCC)(=O)O,4.12
C(\C=C\C#C)(=O)O,3.75
C(\C=C\C#CC)(=O)O,4.2
C(\C=C\CC)(=O)O,4.74
C(\C=C\CCCC)(=O)O,4.88
C/C(=C/C(=O)O)C(=O)O,2.2
C/C(Cl)=C/C(=O)O,4.0075
C/C=C/C(=O)O,4.720000000000001
C/C=C\C(=O)O,4.5600000000000005
C1(=CC=CC=C1)/C=C/C(=O)O,4.46
C1(=CC=CC=C1)[C@H]1[C@@H](C1)C(=O)O,4.57
C1(=CC=CC=C1)\C=C/C(=O)O,3.93
C1[C@H]([C@@H](CC2=CC=CC=C12)N(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,2.2
C=C(C)c1ccc(C(=O)O)cc1,4.04
C=C(CC(=O)O)C(=O)O,3.6545
C=C=CC(=O)O,3.69
C=CC#CCC(=O)O,3.39
C=CC(=O)O,4.2485
C=CCCCSCC(=O)O,3.739
C=CCCSCC(=O)O,3.717
C=CCN(CC(=O)O)CC(=O)O,9.28
C=CCSCC(=O)O,3.683
C=CCc1ccc(C(=O)O)cc1,4.34
C=CCc1cccc(C(=O)O)c1,4.32
CC#CC#CC(=O)O,1.94
CC#CC#CCC(=O)O,3.23
CC#CC(=O)O,2.6029999999999998
CC#CCC(=O)O,3.59
CC(=O)/C=C/C(=O)O,3.24
CC(=O)C(=O)O,2.365
CC(=O)C(CC(=O)O)C(=O)O,2.86
CC(=O)CC(=O)O,3.6
CC(=O)CCC(=O)O,4.6
CC(=O)CCCC(=O)O,4.8
CC(=O)NC(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)O,3.43
CC(=O)NC(Cc1cc(I)c(O)c(I)c1)C(=O)O,7.12
CC(=O)NC(Cc1ccc(O)c(I)c1)C(=O)O,8.83
CC(=O)NCC(=O)NC(Cc1c[nH]cn1)C(=O)NCC(=O)O,6.86
CC(=O)NCC(=O)NC(Cc1cn(Cc2ccccc2)cn1)C(=O)NCC(=O)O,6.37
CC(=O)NCC(=O)NCC(=O)NC(Cc1c[nH]cn1)C(=O)O,7.18
CC(=O)NCC(=O)NCC(=O)NCC(=O)NC(Cc1c[nH]cn1)C(=O)O,7.21
CC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)NCC(=O)O,6.9
CC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,7.18
CC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,7.11
CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,7.08
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,10.11
CC(=O)Nc1cccc(C(=O)O)c1,4.03
CC(=O)O,4.645133333333334
CC(=O)OC(C(=O)O)C(C)([N+](=O)[O-])[N+](=O)[O-],1.85
CC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],3.6
CC(=O)OC(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)O,2.02
CC(=O)Oc1ccc(C(=O)O)cc1,3.92
CC(=O)Oc1ccccc1C(=O)O,3.38
CC(=O)SCC(=O)O,3.23
CC(=O)c1ccc(C(=O)O)cc1,3.7
CC(=O)c1ccc(CC(=O)O)s1,3.76
CC(=O)c1ccc(OCC(=O)O)cc1,2.81
CC(=O)c1cccc(C(=O)O)c1,3.827
CC(=O)c1cccc(NCC(=O)O)c1,3.93
CC(=O)c1ccccc1C(=O)O,4.123
CC(=S)SCC(=O)O,2.9450000000000003
CC(Br)=CC(=O)O,3.8600000000000003
CC(Br)C(=O)O,3.01
CC(C(=O)O)C(=O)O,3.05
CC(C(=O)O)c1ccccc1,4.3
CC(C(O)C(=O)O)([N+](=O)[O-])[N+](=O)[O-],2.37
CC(C)(C#N)C(=O)O,2.422
CC(C)(C(=O)O)C(=O)C(=O)O,1.77
CC(C)(C(=O)O)C(=O)O,3.03
CC(C)(C(=O)O)C(C)(C)C(=O)O,3.88
CC(C)(C)C#CC(=O)O,2.66
CC(C)(C)C(=O)O,5.1555
CC(C)(C)C(C(=O)O)C(=O)O,2.92
CC(C)(C)C(C(=O)O)C(C(=O)O)C(C)(C)C,2.4850000000000003
CC(C)(C)C(C)(CC(=O)O)CC(=O)O,3.61
CC(C)(C)C1CCC(C(=O)O)C(C(=O)O)C1,4.29
CC(C)(C)CC#CC(=O)O,2.53
CC(C)(C)c1ccc(C(=O)O)cc1,4.382
CC(C)(C)c1ccc(S(=O)(=O)CC(=O)O)cc1,2.598
CC(C)(C)c1ccc(S(=O)CC(=O)O)cc1,2.773
CC(C)(C)c1ccc(SCC(=O)O)cc1,3.758
CC(C)(C)c1cccc(C(=O)O)c1,4.204
CC(C)(CC(=O)O)CC(=O)O,3.79
CC(C)(CCC(=O)O)N(F)F,4.35
CC(C)(N)C(=O)O,10.2125
CC(C)(O)C(=O)O,3.784
CC(C)(OCC(=O)O)C(=O)O,3.44
CC(C)(SCC(=O)O)C(=O)O,3.74
CC(C)=CC(=O)O,5.12
CC(C)C(=O)O,4.619
CC(C)C(C#N)(C(=O)O)C(C)C,2.556
CC(C)C(C#N)C(=O)O,2.014
CC(C)C(C(=O)O)(C(=O)O)C(C)C,2.152
CC(C)C(C(=O)O)C(=O)O,3.0966666666666662
CC(C)C(C)(CC(=O)O)CC(=O)O,3.78
CC(C)C(CC(=O)O)(CC(=O)O)C(C)C,3.63
CC(C)C(CC(=O)O)CC(=O)O,4.28
CC(C)CNCC(=O)O,10.12
CC(C)C[C@H](N)C(=O)NCC(=O)NCC(=O)O,7.835
CC(C)C[C@H](N)C(=O)NCC(=O)O,8.015
CC(C)C[C@H](N)C(=O)O,9.6888
CC(C)C[C@H](NC(=O)[C@@H](N)CO)C(=O)O,7.45
CC(C)NCC(=O)O,10.06
CC(C)[C@H](N)C(=O)NCC(=O)O,7.775
CC(C)[C@H](N)C(=O)O,9.634166666666667
CC(C)[C@H](NC(=O)CN)C(=O)O,8.223333333333334
CC(C)c1ccc(C(=O)O)cc1,4.36
CC(C)c1ccc(C(O)C(=O)O)cc1,3.64
CC(C)c1cccc(C(=O)O)c1O,2.76
CC(C)c1csc(C(=O)O)c1,3.66
CC(CC(=O)O)(CC(=O)O)c1ccccc1,4.12
CC(CC(=O)O)C(=O)O,3.94
CC(CC(=O)O)C1(C)N=N1,4.5
CC(CC(=O)O)CC(=O)O,4.31
CC(CC(=O)O)c1ccccc1,4.4
CC(CCC(=O)O)(N(F)F)N(F)F,4.01
CC(CCC(=O)O)([N+](=O)[O-])[N+](=O)[O-],3.98
CC(CCC(=O)O)C(=O)O,4.36
CC(CCC(=O)O)c1ccccc1,4.7
CC(CCCC(=O)O)(N(F)F)N(F)F,4.62
CC(CCCC(=O)O)c1ccccc1,4.8
CC(CO)(CO)C(=O)O,4.5
CC(C[C@H](N)C(=O)O)C(F)(F)F,8.947
CC(Cl)C(=O)O,2.89
CC(Cl)CC(=O)O,4.2
CC(Cl)CCC(=O)O,4.4
CC(Cl)CCCC(=O)O,4.6
CC(I)=CC(=O)O,3.835
CC(N)C(=O)O,9.906
CC(N)CC(=O)O,10.19
CC(N)CCC(=O)O,10.46
CC(NC(=O)CN)C(=O)O,8.225000000000001
CC(O)(CC(=O)C(=O)O)C(=O)O,1.73
CC(O)C(N)C(=O)O,9.03
CC(OC(C)(C)C(=O)O)C(=O)O,3.32
CC(OCC(=O)O)C(=O)O,3.03
CC(SC(C(=O)O)c1ccccc1)C(=O)O,2.94
CC(SC(C)(C)C(=O)O)C(=O)O,3.6
CC(SC(C)C(=O)O)C(=O)O,3.4
CC(SCC(=O)O)C(=O)O,3.38
CC([C@H](N)C(=O)O)C(F)(F)F,8.102
CC1(C)SCNC1C(=O)O,5.98
CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O,4.9
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,7.24
CC1(C)[C@H](C(=O)O)[C@@H]1C(=O)O,2.5733333333333333
CC1(CC(=O)O)N=N1,3.9
CC1(CC(C(=O)O)c2ccccc2)N=N1,3.9
CC1(CCC(=O)O)N=N1,4.4
CC1(CCCCC(=O)O)N=N1,4.7
CC=CC#CC(=O)O,2.67
CC=Cc1ccc(C(=O)O)cc1,4.49
CC=Cc1cccc(C(=O)O)c1,4.25
CCC#CC#CC(=O)O,1.9
CCC#CC(=O)O,2.61
CCC(=O)C(=O)O,2.5
CCC(=O)O,4.7335
CCC(C(=O)O)(C(=O)O)C(C)C,2.19
CCC(C(=O)O)(C(=O)O)c1ccccc1,1.9
CCC(C(=O)O)C(=O)O,2.975
CCC(C)(C)C(=O)O,4.93
CCC(C)(O)C(=O)O,3.73
CCC(C)C(=O)O,4.761
CCC(C)CC(=O)O,4.766
CCC(C)SCC(=O)O,3.768
CCC(CC(=O)O)(CC(=O)O)c1ccccc1,3.89
CCC(CC)(C(=O)O)C(=O)O,2.2342
CCC(CC)(C(=O)O)C(CC)(CC)C(=O)O,3.84
CCC(CC)(C(=O)O)C(CC)(CC)C(=O)OC,5.34
CCC(CC)(CC(=O)O)CC(=O)O,3.67
CCC(CC)C(CC)(C(=O)O)C(=O)O,2.15
CCC(N)C(=O)O,9.708666666666668
CCCC(=O)O,4.8175
CCCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],3.56
CCCC(=O)c1ccccc1C(=O)O,4.45
CCCC(C(=O)O)C(=O)O,3.0
CCCC(C)(C)C(=O)O,4.969
CCCC(C)C(=O)O,4.782
CCCC(CC(=O)O)(CC(=O)O)c1ccccc1,3.88
CCCC(CC(=O)O)CC(=O)O,4.32
CCCC(CCC)(C(=O)O)C(=O)O,1.9433333333333334
CCCC(CCC)(CC(=O)O)CC(=O)O,3.65
CCCC(O)C(=O)O,3.59
CCCCC#CC#CC(=O)O,1.89
CCCCC#CC(=O)O,2.6
CCCCC(=O)O,4.8
CCCCC(CC)(C(=O)O)C(=O)O,2.15
CCCCC(CCCC)(C(=O)O)C(=O)O,2.175
CCCCCC(=O)O,4.8
CCCCCC=CCC=CCCCCCCCC(=O)O,4.77
CCCCCCC(=O)O,4.8
CCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],3.6
CCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],3.65
CCCCCCCCCC[N+](C)(C)C(C)C(=O)O.[Br-],1.75
CCCCCCSCC(=O)O,3.758
CCCCCSCC(=O)O,3.753
CCCCNCC(=O)O,10.16
CCCCOP(=O)(CC(=O)O)OCCCC,3.58
CCCCP(=O)(CCCC)C(C)(O)C(=O)O,2.94
CCCCSCC(=O)O,3.739
CCCC[C@H](N)C(=O)O,9.844333333333333
CCCC[P+](CCCC)(CCCC)CC(=O)O.[Cl-],2.34
CCCCc1ccc(C(O)C(=O)O)cc1,3.58
CCCN(CC(=O)O)CC(=O)O,2.44
CCCNCC(=O)O,10.11
CCCN[C@@H](C)C(=O)O,10.19
CCCSCC(=O)O,3.729
CCC[C@H](N)C(=O)O,9.819
CCN(CC)CC(=O)O,10.483333333333334
CCNCC(=O)O,10.165
CCN[C@@H](C)C(=O)O,10.22
CCOC(=O)C(C)(C)C(=O)O,3.49
CCOC(=O)C(C)SC(C)C(=O)O,3.76
CCOC(=O)C(C)SCC(=O)O,3.77
CCOC(=O)C(CC)(C(=O)O)C(C)C,4.07
CCOC(=O)C(CC)(CC)C(=O)O,3.7900000000000005
CCOC(=O)C(CC)C(=O)O,3.665
CCOC(=O)CC(=O)O,3.533333333333333
CCOC(=O)CC[C@H](N)C(=O)O,9.19
CCOC(=O)CNc1ccc(C(=O)O)cc1,4.88
CCOC(=O)CNc1cccc(C(=O)O)c1,4.3
CCOC(=O)CSC(C)(C)C(=O)O,4.59
CCOC(=O)CSC(C)C(=O)O,3.71
CCOC(=O)CSCC(=O)O,3.66
CCOC(=O)[C@@H](N)CCC(=O)O,7.838
CCOC(=O)c1cc(=O)cc(C(=O)O)o1,1.28
CCOC(=S)SCC(=O)O,3.08
CCOCC(=O)O,3.84
CCOP(=O)(CC(=O)O)OCC,3.3
CCOP(=O)(OCC)c1ccc(C(=O)O)cc1,3.63
CCOP(=O)(OCC)c1cccc(C(=O)O)c1,3.73
CCOc1ccc(C(=O)O)c(C(=O)O)c1,2.74
CCOc1ccc(C(=O)O)c(O)c1,3.2
CCOc1nc(NCC(=O)O)c(N)c(C(=O)O)n1,7.33
CCOc1nc2c(c(C(=O)O)n1)N=C(O)CN2,5.31
CCSC(=S)SCC(=O)O,2.9400000000000004
CCSCC(=O)O,3.9110000000000005
CCSCCC(N)C(=O)O,9.02
CCSc1nc(=O)c(C(=O)O)c[nH]1,6.01
CC[C@H](C)[C@H](N)C(=O)O,9.74575
CC[C@H](C)[C@H](NC(=O)CN)C(=O)O,8.0
CCc1ccc(C(=O)O)s1,3.7
CCc1ccc(C(O)C(=O)O)cc1,3.55
CN(C)C(=O)OCC(=O)O,3.01
CN(C)C(=O)SCC(=O)O,3.52
CN(C)C(=S)NCC(=O)O,3.71
CN(C)C(=S)OCC(=O)O,2.87
CN(C)C(=S)SCC(=O)O,3.3499999999999996
CN(C)C12CCC(C(=O)O)(CC1)C2,3.716
CN(C)C12CCC(C(=O)O)(CC1)CC2,4.083
CN(C)CC(=O)NCC(=O)O,8.09
CN(C)CC(=O)O,9.848
CN(C)CC(O)CC(=O)O,3.81
CN(C)CCC(=O)O,9.85
CN(C)c1ccc(/N=N/c2ccccc2C(=O)O)cc1,4.82
CN(C)c1ccc(C(=O)O)cc1,5.03
CN(C)c1cccc(C(=O)O)c1,5.1
CN(C)c1ccccc1C(=O)O,8.5
CN(C)c1nc(NCC(=O)O)c(N)c(C(=O)O)n1,9.809999999999999
CN(C)c1nc2c(c(C(=O)O)n1)N=C(O)CN2,7.31
CN(CC(=O)O)C(=O)CN,8.666666666666666
CN(CC(=O)O)C(=O)CNC(=O)CN,8.4
CN(CC(=O)O)C1CCCCC1,10.71
CN1C2CCC1[C@H](C(=O)O)[C@@H](O)C2,9.7
CN1CCC=C(C(=O)O)C1,9.07
CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](O)C2,11.030000000000001
CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](OC(=O)c1ccccc1)C2,11.8
CNCC(=O)O,10.058333333333332
CN[C@@H](C)C(=O)O,10.19
CNc1ccc(C(=O)O)cc1,5.04
CNc1cccc(C(=O)O)c1,5.1
CNc1ccccc1C(=O)O,5.34
CO/C=C/C(=O)O,4.85
COC(=O)C(C(C(=O)O)C(C)(C)C)C(C)(C)C,5.57
COC(=O)C(C)(C)C(C)(C)C(=O)O,5.23
COC(=O)C12CCC(C(=O)O)(CC1)C2,4.494
COC(=O)C1=C(C(=O)O)C2C=CC1C2,3.02
COC(=O)C1=C(C(=O)O)C2CCC1C2,3.19
COC(=O)C1=C(C(=O)O)CC1,3.19
COC(=O)C1=C(C(=O)O)CCC1,2.94
COC(=O)C1C(C(=O)O)C1(c1ccccc1)c1ccccc1,5.17
COC(=O)C[C@H](N)C(=O)O,8.62
COC(=O)[C@@H]1CC[C@H](CC1)C(=O)O,4.66
COC(=O)c1ccc(C(=O)O)nc1,3.62
COC(=O)c1cccc(C(=O)O)n1,2.65
COC(=O)c1ccnc(C(=O)O)c1,3.71
COC(=O)c1cocc1C(=O)O,3.75
COC1=C(C=CC(=C1)OC)/C=C/C(=O)O,4.8
COC1=C(C=CC=C1OC)/C=C/C(=O)O,4.37
COC=1C=C(C=C(C1)OC)/C=C/C(=O)O,4.36
COC=1C=C(C=CC1OC)/C=C/C(=O)O,4.53
COCC(=O)O,3.513333333333333
COCCN(CCOC)CC(=O)O,8.3
COP(=O)(OC)c1ccc(C(=O)O)cc1,3.61
COP(=O)(OC)c1cccc(C(=O)O)c1,3.74
CO[C@@H](C)[C@H](N)C(=O)O,8.9
CO[C@@H]1CC[C@H](CC1)C(=O)O,4.66
COc1cc(/C=C/C(=O)O)ccc1O,4.55
COc1cc(C(=O)O)cc(OC)c1O,4.34
COc1cc(C(=O)O)cc(OC)c1OC,4.166666666666667
COc1cc(C(=O)O)cc([N+](=O)[O-])c1O,4.12
COc1cc(C(=O)O)ccc1O,4.49
COc1cc(CC(=O)O)ccc1O,4.41
COc1cc(OC)cc(C(=O)O)c1,3.97
COc1cc([N+](=O)[O-])cc(C(=O)O)c1O,2.58
COc1cc2ccccc2cc1C(=O)O,3.8
COc1ccc(C(=O)O)c(C(=O)O)c1,2.67
COc1ccc(C(=O)O)c(N)c1,4.88
COc1ccc(C(=O)O)c(O)c1,3.31
COc1ccc(C(=O)O)c(OC)c1,4.36
COc1ccc(C(=O)O)c2ccccc12,4.31
COc1ccc(C(=O)O)cc1,4.2783750000000005
COc1ccc(C(=O)O)cc1O,4.47
COc1ccc(C(=O)O)cc1OC,4.395
COc1ccc(C(=O)O)s1,3.8
COc1ccc(C(O)C(=O)O)cc1,3.42
COc1ccc(C2CC2C(=O)O)cc1,4.62
COc1ccc(C=O)c(C(=O)O)c1OC,3.065
COc1ccc(CC(=O)O)cc1,4.07
COc1ccc(CCC(=O)O)cc1,4.71
COc1ccc(C[C@H](N)C(=O)O)cc1,9.309999999999999
COc1ccc(N)c(C(=O)O)c1,5.57
COc1ccc(NCC(=O)O)cc1,5.096
COc1ccc(O)c(C(=O)O)c1,2.94
COc1ccc(S(=O)(=O)CC(=O)O)cc1,2.602
COc1ccc(S(=O)CC(=O)O)cc1,2.754
COc1ccc(SCC(=O)O)cc1,3.7
COc1ccc2c(CC(N)C(=O)O)c[nH]c2c1,16.7
COc1cccc(C(=O)O)c1,3.8745
COc1cccc(C(=O)O)c1OC,3.98
COc1cccc(NCC(=O)O)c1,4.135
COc1cccc(OC)c1C(=O)O,3.44
COc1cccc(S(=O)(=O)CC(=O)O)c1,2.588
COc1cccc(SCC(=O)O)c1,3.546
COc1ccccc1C(=O)O,3.9
COc1ccccc1C(O)C(=O)O,3.64
COc1coc(C(=O)O)cc1=O,1.53
CS(=O)(=O)c1ccc(OCC(=O)O)cc1,2.85
CSC(=S)N(C)CC(=O)O,2.9850000000000003
CSC(=S)NCC(=O)O,3.19
CSCC(=O)O,3.655
CSCCC(NC(=O)CN)C(=O)O,8.51
CSCC[C@H](N)C(=O)O,9.193999999999999
CSC[C@H](N)C(=O)O,8.816666666666668
CSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,9.2
CSc1cccc(SCC(=O)O)c1,3.468
C[C@@H](N)C(=O)N1CCC[C@H]1C(=O)O,8.38
C[C@@H](O)[C@H](N)C(=O)O,9.05
C[C@@H]1[C@@H](C1)C(=O)O,5.02
C[C@H](N)C(=O)NCC(=O)NCC(=O)O,8.05
C[C@H](N)C(=O)NCC(=O)O,8.114
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,7.9625
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,8.065999999999999
C[C@H](N)C(=O)N[C@@H](C)C(=O)O,8.286000000000001
C[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)O,10.533333333333333
C[C@H](N)C(=O)O,9.847428571428571
C[C@H](NC(=O)CN)C(=O)NCC(=O)O,8.08
C[C@H](NC(=O)CN)C(=O)O,8.2275
C[C@H](NC(=O)CNC(=O)CN)C(=O)O,8.02
C[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)O,10.7
C[C@H](NC(=O)[C@H](C)NC(=O)CN)C(=O)O,8.135
C[C@H](NCc1ccccc1)C(=O)NCC(=O)O,7.05
C[C@H](O)[C@H](N)C(=O)O,9.053
C[C@H]1[C@@H](C1)C(=O)O,5.0
C[N+](C)(C)CC(O)CC(=O)O.[Cl-],3.8
C[N+](C)(C)CCCC(=O)O.[Cl-],4.02
C[N+](C)(C)c1ccc(CC(=O)O)cc1.[I-],3.75
C[N+](C)(C)c1ccc(CCC(=O)O)cc1.[I-],4.22
C[N+](C)(C)c1cccc(CC(=O)O)c1.[I-],3.66
C[N+](C)(C)c1cccc(CCC(=O)O)c1.[I-],4.17
