SMILES,pka_value
C=CCN(CC(=O)O)CC(=O)O,2.43
CC(=O)NC(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)O,2.35
CC(=O)NCC(=O)NC(Cc1c[nH]cn1)C(=O)NCC(=O)O,3.25
CC(=O)NCC(=O)NC(Cc1cn(Cc2ccccc2)cn1)C(=O)NCC(=O)O,3.3
CC(=O)NCC(=O)NCC(=O)NC(Cc1c[nH]cn1)C(=O)O,3.08
CC(=O)NCC(=O)NCC(=O)NCC(=O)NC(Cc1c[nH]cn1)C(=O)O,3.16
CC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)NCC(=O)O,3.29
CC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,3.08
CC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,2.99
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,3.0549999999999997
CC(=O)c1cccc(NCC(=O)O)c1,1.14
CC(C)(N)C(=O)O,2.4185
CC(C)CNCC(=O)O,2.35
CC(C)C[C@H](N)C(=O)NCC(=O)NCC(=O)O,3.275
CC(C)C[C@H](N)C(=O)NCC(=O)O,3.185
CC(C)C[C@H](N)C(=O)O,2.359
CC(C)C[C@H](NC(=O)CN)C(=O)O,3.18
CC(C)C[C@H](NC(=O)[C@@H](N)CO)C(=O)O,3.08
CC(C)NCC(=O)O,2.36
CC(C)[C@H](N)C(=O)NCC(=O)O,3.23
CC(C)[C@H](N)C(=O)O,2.2986666666666666
CC(C)[C@H](NC(=O)CN)C(=O)O,3.215
CC(C[C@H](N)C(=O)O)C(F)(F)F,2.045
CC(N)C(=O)O,2.64
CC(N)CC(=O)O,3.55
CC(N)CCC(=O)O,3.97
CC(NC(=O)CN)C(=O)O,3.215
CC(O)C(N)C(=O)O,2.32
CC([C@H](N)C(=O)O)C(F)(F)F,1.54
CC1(C)SCNC1C(=O)O,1.58
CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O,2.3
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,2.52
CCC(N)C(=O)O,2.3815
CCC(N)CCCCCCCCC(=O)O,4.648
CCCCNCC(=O)O,2.3200000000000003
CCCC[C@H](N)C(=O)O,2.3325
CCCNCC(=O)O,2.315
CCCN[C@@H](C)C(=O)O,2.21
CCC[C@H](N)C(=O)O,2.309
CCN(CC)CC(=O)O,2.0166666666666666
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1.[Cl-],3.2
CCNCC(=O)O,2.32
CCN[C@@H](C)C(=O)O,2.22
CCOC(=O)CC[C@H](N)C(=O)O,2.148
CCOC(=O)CNc1cccc(C(=O)O)c1,1.15
CCOC(=O)[C@@H](N)CCC(=O)O,3.846
CCOc1nc(NCC(=O)O)c(N)c(C(=O)O)n1,3.6
CC[C@H](C)[C@H](N)C(=O)O,2.426
CN(C)CC(=O)NCC(=O)O,3.11
CN(C)CC(=O)O,2.04
CN(C)c1ccc(/N=N/c2ccccc2C(=O)O)cc1,2.3499999999999996
CN(C)c1ccc(C(=O)O)cc1,2.51
CN(C)c1cccc(C(=O)O)c1,3.29
CN(C)c1ccccc1C(=O)O,1.4
CN(CC(=O)O)C(=N)N,2.643333333333333
CN(CC(=O)O)C(=O)CN,2.76
CN(CC(=O)O)C(=O)CNC(=O)CN,3.3
CN(CC(=O)O)C1CCCCC1,1.96
CN(N)c1ccc(C(=O)O)cc1,3.41
CN(N)c1cccc(C(=O)O)c1,2.9
CN(N)c1ccccc1C(=O)O,2.63
CNCC(=O)O,2.266666666666667
CN[C@@H](C)C(=O)O,2.22
CNc1ccc(C(=O)O)cc1,2.22
CNc1cccc(C(=O)O)c1,3.08
CNc1ccccc1C(=O)O,1.97
COCCN(CCOC)CC(=O)O,1.89
CO[C@@H](C)[C@H](N)C(=O)O,1.92
COc1ccc(C(=O)O)c(N)c1,2.06
COc1ccc(C[C@H](N)C(=O)O)cc1,2.21
COc1ccc(N)c(C(=O)O)c1,2.37
COc1ccc(NCC(=O)O)cc1,2.08
COc1cccc(NCC(=O)O)c1,1.68
CSCCC(NC(=O)CN)C(=O)O,3.16
CSCC[C@H](N)C(=O)O,2.1566666666666667
C[C@@H](N)C(=O)N1CCC[C@H]1C(=O)O,3.04
C[C@@H](O)[C@H](N)C(=O)O,2.237
C[C@H](N)C(=O)NCC(=O)NCC(=O)O,3.36
C[C@H](N)C(=O)NCC(=O)O,3.175
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,3.325
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,3.3660000000000005
C[C@H](N)C(=O)N[C@@H](C)C(=O)O,3.21
C[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)O,7.906666666666666
C[C@H](N)C(=O)O,2.3966250000000002
C[C@H](NC(=O)CN)C(=O)NCC(=O)O,3.46
C[C@H](NC(=O)CN)C(=O)O,3.2433
C[C@H](NC(=O)CNC(=O)CN)C(=O)O,3.3
C[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)O,7.62
C[C@H](NC(=O)[C@H](C)NC(=O)CN)C(=O)O,3.34
