cas,smiles,yield,conversion,selectivity,oligomers,fructose_mannose,5-hmf,levoglucosan,furfural,others,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error
88-99-3,O=C(C1=CC=CC=C1C(O)=O)O,13.32,30.37,43.73,0.39,1.5,2.0,1.02,0.75,10.0,O=C(O)c1ccccc1C(=O)O,166.132,1.083,74.6,2,2,2,1,0.0,0,0,2,0,2,0,4,2,0,
2169-87-1,O=C(C1=CC2=CC=CC=C2C=C1C(O)=O)O,11.8,24.44,48.28,0.65,1.8,1.68,1.0,0.66,6.85,O=C(O)c1cc2ccccc2cc1C(=O)O,216.192,2.2362,74.6,2,2,2,2,0.0,0,0,2,0,2,0,4,2,0,
89-05-4,O=C(C1=CC(C(O)=O)=C(C(O)=O)C=C1C(O)=O)O,11.53,30.31,38.04,5.22,1.85,2.74,1.2,1.07,6.7,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,254.15,0.4794,149.2,4,4,4,1,0.0,0,0,4,0,4,0,8,4,0,
610-27-5,O=C(O)C1=CC=C(C=C1C(=O)O)N(=O)=O,15.65,36.39,43.01,0.45,1.65,2.65,1.44,1.17,13.38,O=C(O)c1ccc([N+](=O)[O-])cc1C(=O)O,211.129,0.9912,117.74,4,2,3,1,0.0,0,0,2,0,2,0,4,2,0,
603-11-2,O=C(O)C1=CC=CC(=C1C(=O)O)N(=O)=O,12.49,32.69,38.21,1.1,1.59,2.12,,0.76,,O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O,211.129,0.9912,117.74,4,2,3,1,0.0,0,0,2,0,2,0,4,2,0,
te,O=C(C(C=C1)=C(C(O)=O)C=C1OC2=CC(OC3=CC=C(C(O)=O)C(C(O)=O)=C3)=CC(OC4=CC(C(O)=O)=C(C(O)=O)C=C4)=C2)O,4.18,17.72,23.59,1.7,1.32,1.81,0.52,0.64,8.28,O=C(O)c1ccc(Oc2cc(Oc3ccc(C(=O)O)c(C(=O)O)c3)cc(Oc3ccc(C(=O)O)c(C(=O)O)c3)c2)cc1C(=O)O,618.459,5.2527,251.49,9,6,12,4,0.0,0,0,6,0,6,0,12,6,0,
he2,O=C(C(C=C1)=C(C(O)=O)C=C1OC2=CC=CC(OC3=CC(C(O)=O)=C(C(O)=O)C=C3)=C2)O,11.8,27.0,43.7,1.0,1.8,2.1,1.0,0.6,9.0,O=C(O)c1ccc(Oc2cccc(Oc3ccc(C(=O)O)c(C(=O)O)c3)c2)cc1C(=O)O,438.344,4.064,167.66,6,4,8,3,0.0,0,0,4,0,4,0,8,4,0,
ee,O=C(C1=CC(OC(C=C2)=CC=C2OC3=CC(OC4=CC=C(OC5=CC=C(C(O)=O)C(C(O)=O)=C5)C=C4)=CC=C3)=CC=C1C(O)=O)O,8.7356475,21.0,41.43,1.3,1.7,1.4,1.6,0.6,6.1,O=C(O)c1ccc(Oc2ccc(Oc3cccc(Oc4ccc(Oc5ccc(C(=O)O)c(C(=O)O)c5)cc4)c3)cc2)cc1C(=O)O,622.538,7.6486,186.12,8,4,12,5,0.0,0,0,4,0,4,0,8,4,0,
27485-15-0,O=C1C2=C(C=C(C(O)=O)C(C(O)=O)=C2)C(C3=CC=CC=C31)=O,17.69,22.38,79.04,0.52,1.66,2.31,1.33,0.92,10.569999999999997,O=C(O)c1cc2c(cc1C(=O)O)C(=O)c1ccccc1C2=O,296.234,1.8584,108.74,4,2,2,2,0.0,0,0,2,0,2,0,4,2,0,
1885-13-8,COC1=CC=C(C(O)=O)C(C(O)=O)=C1,13.29,36.0,43.61,0.8,1.7,2.7,1.4,1.2,13.0,COc1ccc(C(=O)O)c(C(=O)O)c1,196.158,1.0916,83.83,3,2,3,1,0.111111,0,0,2,0,2,0,4,2,0,
14963-97-4,COC1=C(C(O)=O)C(C(O)=O)=CC=C1,8.95,21.36,41.9,0.8,1.72,1.5,0.89,0.45,7.1,COc1cccc(C(=O)O)c1C(=O)O,196.158,1.0916,83.83,3,2,3,1,0.111111,0,0,2,0,2,0,4,2,0,
4-no,O=C(C1=CC(OC2=CC3=CC=CC=C3C=C2)=CC=C1C(O)=O)O,12.97,29.0,44.83,1.1,1.8,1.8,1.1,0.7,9.9,O=C(O)c1ccc(Oc2ccc3ccccc3c2)cc1C(=O)O,308.289,4.0285,83.83,3,2,4,3,0.0,0,0,2,0,2,0,4,2,0,
4-po,O=C(C1=CC(OC2=CC3=C4C(C=CC5=CC=CC(C=C3)=C54)=C2)=CC=C1C(O)=O)O,13.9,29.0,47.93,1.1,2.1,2.1,1.3,0.8,7.7,O=C(O)c1ccc(Oc2cc3ccc4cccc5ccc(c2)c3c45)cc1C(=O)O,382.371,5.7727,83.83,3,2,4,5,0.0,0,0,2,0,2,0,4,2,0,
