cas,smiles,input_canonical_smiles,pKa,polar,h_nbo_charge,o_nbo_charge,total_nbo_charge,dipole_moment_debye,homo_ev,lumo_ev,gap_ev,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error
65-85-0,O=C(O)C=1C=CC=CC1,O=C(O)c1ccccc1,4.093071428571428,122.8749855,0.52937,-0.70441,-0.025839999999999974,3.1747536093372664,-8.778937044831,-0.507764445033,8.271172599798,O=C(O)c1ccccc1,122.123,1.3848,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
99-96-7,O=C(O)C1=CC=C(O)C=C1,O=C(O)c1ccc(O)cc1,4.566666666666666,132.7737728,0.52797,-0.70874,-0.04441000000000006,2.589143597794452,-8.126408031332,-0.3066723095135,7.8197357218185,O=C(O)c1ccc(O)cc1,138.122,1.0904,57.53,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
99-50-3,O=C(O)C1=CC=C(O)C(O)=C1,O=C(O)c1ccc(O)c(O)c1,4.3755,139.90771886666667,0.52818,-0.70685,-0.03952,3.558718041654888,-7.802048321536,-0.3431355654805,7.4589127560555,O=C(O)c1ccc(O)c(O)c1,154.121,0.796,77.76,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,
50-78-2,O=C(O)C=1C=CC=CC1OC(=O)C,CC(=O)Oc1ccccc1C(=O)O,3.38,162.5380683333333,0.53042,-0.70164,-0.0014399999999999968,3.8183182698669844,-8.8085974545355,-0.5771534769105,8.231443977625,CC(=O)Oc1ccccc1C(=O)O,180.159,1.3101,63.6,3,1,2,1,0.111111,0,0,1,0,1,0,2,1,0,
490-79-9,O=C(O)C1=CC(O)=CC=C1O,O=C(O)c1cc(O)ccc1O,2.9655,138.72973046666667,0.54269,-0.72334,-0.01910999999999996,1.6906803512195911,-7.546261302066,-0.5619151012825001,6.9843462007835,O=C(O)c1cc(O)ccc1O,154.121,0.796,77.76,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,
149-91-7,O=C(O)C1=CC(O)=C(O)C(O)=C1,O=C(O)c1cc(O)c(O)c(O)c1,4.27,145.925735,0.5289,-0.70576,-0.03332999999999997,3.0252920520174573,-7.8319808450910005,-0.35646914415500003,7.475511700936001,O=C(O)c1cc(O)c(O)c(O)c1,170.12,0.5016,97.99,4,4,1,1,0.0,0,0,1,0,1,0,2,1,0,
121-34-6,O=C(O)C1=CC=C(O)C(OC)=C1,COc1cc(C(=O)O)ccc1O,4.49,156.8445025,0.52788,-0.70774,-0.04233000000000009,1.6292289372583584,-7.7315708342565,-0.336332719218,7.3952381150385,COc1cc(C(=O)O)ccc1O,168.148,1.099,66.76,3,2,2,1,0.125,0,0,1,0,1,0,2,1,0,
100-09-4,O=C(O)C1=CC=C(OC)C=C1,COc1ccc(C(=O)O)cc1,4.2783750000000005,150.52139206666666,0.52774,-0.7086,-0.04536000000000007,3.30176698299562,-8.0107596448695,-0.306400195663,7.704359449206501,COc1ccc(C(=O)O)cc1,152.149,1.3934,46.53,2,1,2,1,0.125,0,0,1,0,1,0,2,1,0,
99-10-5,O=C(O)C=1C=C(O)C=C(O)C1,O=C(O)c1cc(O)cc(O)c1,4.039,137.31474103333332,0.53046,-0.70139,-0.015039999999999831,2.8388656061885,-7.8986487384635,-0.5515747749635,7.3470739635,O=C(O)c1cc(O)cc(O)c1,154.121,0.796,77.76,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,
530-57-4,O=C(O)C1=CC(OC)=C(O)C(OC)=C1,COc1cc(C(=O)O)cc(OC)c1O,4.34,180.85008733333333,0.52874,-0.70736,-0.037800000000000056,0.7898850169486695,-7.628983912618,-0.359734510361,7.269249402257,COc1cc(C(=O)O)cc(OC)c1O,198.174,1.1076,75.99,4,2,3,1,0.222222,0,0,1,0,1,0,2,1,0,
619-66-9,O=CC1=CC=C(C=C1)C(=O)O,O=Cc1ccc(C(=O)O)cc1,3.76,148.47409596666665,0.53174,-0.69855,-0.006669999999999954,2.10993301789417,-9.0028867437925,-1.447101456959,7.555785286833499,O=Cc1ccc(C(=O)O)cc1,150.133,1.1973,54.37,2,1,2,1,0.0,0,0,1,0,1,0,2,1,0,
93-07-2,O=C(O)C1=CC=C(OC)C(OC)=C1,COc1ccc(C(=O)O)cc1OC,4.395,174.993258,0.52771,-0.70792,-0.04266000000000003,3.490459572892945,-7.621092610953499,-0.3251760513475,7.295916559605999,COc1ccc(C(=O)O)cc1OC,182.175,1.402,55.76,3,1,3,1,0.222222,0,0,1,0,1,0,2,1,0,
99-94-5,O=C(O)C1=CC=C(C=C1)C,Cc1ccc(C(=O)O)cc1,4.383333333333334,142.85516456666667,0.52845,-0.70673,-0.035479999999999956,3.856975237151517,-8.479883923131501,-0.4231370375275,8.056746885604001,Cc1ccc(C(=O)O)cc1,136.15,1.69322,37.3,1,1,1,1,0.125,0,0,1,0,1,0,2,1,0,
74-11-3,O=C(O)C1=CC=C(Cl)C=C1,O=C(O)c1ccc(Cl)cc1,3.988,138.57066833333334,0.53057,-0.7023,-0.017890000000000073,2.269491178656573,-8.670091504631001,-0.650352102695,8.019739401936,O=C(O)c1ccc(Cl)cc1,156.568,2.0382,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
586-76-5,O=C(O)C1=CC=C(Br)C=C1,O=C(O)c1ccc(Br)cc1,3.963,148.8233551,0.53072,-0.70188,-0.01638000000000006,2.26992756932903,-8.565055558337999,-0.6827336509045,7.882321907433499,O=C(O)c1ccc(Br)cc1,201.019,2.1473,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
50-84-0,O=C(O)C1=CC=C(Cl)C=C1Cl,O=C(O)c1ccc(Cl)cc1Cl,2.73,153.7651928,0.53133,-0.69827,0.01634000000000002,4.006774509502625,-8.7084595575515,-0.631848360861,8.0766111966905,O=C(O)c1ccc(Cl)cc1Cl,191.013,2.6916,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
118-91-2,O=C(O)C=1C=CC=CC1Cl,O=C(O)c1ccccc1Cl,3.063333333333333,137.50951813333333,0.53055,-0.68891,0.015490000000000004,3.12037943365867,-8.595532309594,-0.39238817242100005,8.203144137173,O=C(O)c1ccccc1Cl,156.568,2.0382,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
89-86-1,O=C(O)C1=CC=C(O)C=C1O,O=C(O)c1ccc(O)cc1O,3.20875,141.51117933333333,0.53105,-0.69648,-0.04239999999999999,1.8131871718054924,-8.008310620215001,-0.331434669909,7.676875950306001,O=C(O)c1ccc(O)cc1O,154.121,0.796,77.76,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,
10349-57-2,O=C(O)C1=CC=C2N=CC=CC2=C1,O=C(O)c1ccc2ncccc2c1,4.82,194.9498118,0.53014,-0.70361,-0.02066000000000001,5.716004164624095,-8.190082672349002,-0.9847800249595,7.205302647389502,O=C(O)c1ccc2ncccc2c1,173.171,1.933,50.19,2,1,1,2,0.0,0,0,1,0,1,0,2,1,0,
93-09-4,O=C(O)C=1C=CC=2C=CC=CC2C1,O=C(O)c1ccc2ccccc2c1,4.343666666666667,206.53162833333332,0.52927,-0.70536,-0.027919999999999945,3.8352152716633783,-7.6662635101365,-0.7913070772540001,6.8749564328825,O=C(O)c1ccc2ccccc2c1,172.183,2.538,37.3,1,1,1,2,0.0,0,0,1,0,1,0,2,1,0,
552-16-9,O=C(O)C=1C=CC=CC1N(=O)=O,O=C(O)c1ccccc1[N+](=O)[O-],2.1083333333333334,147.94078246666666,0.53365,-0.68859,0.031729999999999925,8.422178892661922,-9.2200335964915,-1.7777197853165,7.4423138111750005,O=C(O)c1ccccc1[N+](=O)[O-],167.12,1.293,80.44,3,1,2,1,0.0,0,0,1,0,1,0,2,1,0,
446-08-2,O=C(O)C1=CC(F)=CC=C1N,Nc1ccc(F)cc1C(=O)O,4.82,140.70312143333334,0.5281,-0.70995,-0.05703999999999987,2.6019194107427697,-7.304079975121,-0.502322168023,6.801757807097999,Nc1ccc(F)cc1C(=O)O,155.128,1.1061,63.32,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
456-22-4,O=C(O)C1=CC=C(F)C=C1,O=C(O)c1ccc(F)cc1,3.907428571428572,120.91900079999999,0.52998,-0.70403,-0.02375000000000005,2.247547607949607,-8.7813860694855,-0.4759271245245,8.305458944961,O=C(O)c1ccc(F)cc1,140.113,1.5239,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
2612-02-4,O=C(O)C1=CC(OC)=CC=C1O,COc1ccc(O)c(C(=O)O)c1,2.94,155.89088790000002,0.53314,-0.69108,-0.015080000000000093,3.756602876269995,-7.4447628358295,-0.5885822586315,6.856180577198,COc1ccc(O)c(C(=O)O)c1,168.148,1.099,66.76,3,2,2,1,0.125,0,0,1,0,1,0,2,1,0,
