cas,smiles,canonical_smiles,pKa
69-72-7,O=C(O)C=1C=CC=CC1O,O=C(O)c1ccccc1O,2.9423076923076925
150-13-0,O=C(O)C1=CC=C(N)C=C1,Nc1ccc(C(=O)O)cc1,4.832833333333333
303-38-8,O=C(O)C=1C=CC=C(O)C1O,O=C(O)c1cccc(O)c1O,2.914
579-75-9,O=C(O)C=1C=CC=CC1OC,COc1ccccc1C(=O)O,3.9
62-23-7,O=C(O)C1=CC=C(C=C1)N(=O)=O,O=C(O)c1ccc([N+](=O)[O-])cc1,3.2511666666666668
586-89-0,O=C(O)C1=CC=C(C=C1)C(=O)C,CC(=O)c1ccc(C(=O)O)cc1,3.7
118-41-2,O=C(O)C1=CC(OC)=C(OC)C(OC)=C1,COc1cc(C(=O)O)cc(OC)c1OC,4.166666666666667
65-49-6,O=C(O)C1=CC=C(N)C=C1O,Nc1ccc(C(=O)O)c(O)c1,3.356666666666667
99-05-8,O=C(O)C=1C=CC=C(N)C1,Nc1cccc(C(=O)O)c1,4.749
94-53-1,O=C(O)C1=CC=C2OCOC2=C1,O=C(O)c1ccc2c(c1)OCO2,4.5
1132-21-4,O=C(O)C=1C=C(OC)C=C(OC)C1,COc1cc(OC)cc(C(=O)O)c1,3.97
1521-38-6,O=C(O)C=1C=CC=C(OC)C1OC,COc1cccc(C(=O)O)c1OC,3.98
602-94-8,O=C(O)C=1C(F)=C(F)C(F)=C(F)C1F,O=C(O)c1c(F)c(F)c(F)c(F)c1F,1.75
619-17-0,O=C(O)C1=CC=C(C=C1N)N(=O)=O,Nc1cc([N+](=O)[O-])ccc1C(=O)O,3.7
99-64-9,O=C(O)C1=CC=CC(=C1)N(C)C,CN(C)c1cccc(C(=O)O)c1,5.1
86-59-9,O=C(O)C1=CC=CC2=CC=CN=C21,O=C(O)c1cccc2cccnc12,6.8
611-01-8,O=C(O)C1=CC=C(C=C1C)C,Cc1ccc(C(=O)O)c(C)c1,4.2595
91-52-1,O=C(O)C1=CC=C(OC)C=C1OC,COc1ccc(C(=O)O)c(OC)c1,4.36
619-19-2,O=C(O)C1=CC=C(C=C1O)N(=O)=O,O=C(O)c1ccc([N+](=O)[O-])cc1O,2.27
618-84-8,O=C(O)C1=CC(N)=CC(=C1)N(=O)=O,Nc1cc(C(=O)O)cc([N+](=O)[O-])c1,3.55
883-62-5,O=C(O)C1=CC=2C=CC=CC2C=C1OC,COc1cc2ccccc2cc1C(=O)O,3.8
652-18-6,O=C(O)C=1C(F)=C(F)C=C(F)C1F,O=C(O)c1c(F)c(F)cc(F)c1F,1.87
10541-83-0,O=C(O)C1=CC=C(C=C1)NC,CNc1ccc(C(=O)O)cc1,5.04
652-34-6,O=C(O)C1=C(F)C(F)=C(O)C(F)=C1F,O=C(O)c1c(F)c(F)c(O)c(F)c1F,2.27
1798-82-9,O=C(O)C1=CC=C(C=C1)C2CC2,O=C(O)c1ccc(C2CC2)cc1,4.44
6924-66-9,O=C(O)C=1C=CC=C2N=CC=NC21,O=C(O)c1cccc2nccnc12,4.026
1013-04-3,O=C(O)C1=CC=C(Cl)C=2C=CC=CC12,O=C(O)c1ccc(Cl)c2ccccc12,3.36
652-32-4,O=C(O)C1=C(F)C(F)=C(C(F)=C1F)C,Cc1c(F)c(F)c(C(=O)O)c(F)c1F,2.0
56961-31-0,O=C(O)C=1C(Cl)=CC=CC1O,O=C(O)c1c(O)cccc1Cl,2.63
7498-54-6,O=C(O)C1=CC=CC(=C1)C(C)(C)C,CC(C)(C)c1cccc(C(=O)O)c1,4.204
15785-54-3,O=C(O)C1=CC(OC)=C(O)C(=C1)N(=O)=O,COc1cc(C(=O)O)cc([N+](=O)[O-])c1O,4.12
1,C=C(C)c1ccc(C(=O)O)cc1,4.04,4.13,C=C(C)c1ccc(C(=O)O)cc1
2,C=CCc1ccc(C(=O)O)cc1,4.34,4.31,C=CCc1ccc(C(=O)O)cc1
3,C=CCc1cccc(C(=O)O)c1,4.32,4.02,C=CCc1cccc(C(=O)O)c1
4,CC(=O)Nc1cccc(C(=O)O)c1,4.03,4.42,CC(=O)Nc1cccc(C(=O)O)c1
5,CC(C)c1cccc(C(=O)O)c1O,2.76,3.18,CC(C)c1cccc(C(=O)O)c1O
6,CC=Cc1ccc(C(=O)O)cc1,4.49,4.07,CC=Cc1ccc(C(=O)O)cc1
7,CC=Cc1cccc(C(=O)O)c1,4.25,4.0,CC=Cc1cccc(C(=O)O)c1
8,CCCC(=O)c1ccccc1C(=O)O,4.45,3.88,CCCC(=O)c1ccccc1C(=O)O
9,CCOC(=O)CNc1ccc(C(=O)O)cc1,4.88,4.52,CCOC(=O)CNc1ccc(C(=O)O)cc1
10,CCOC(=O)CNc1cccc(C(=O)O)c1,4.3,4.42,CCOC(=O)CNc1cccc(C(=O)O)c1
11,CCOP(=O)(OCC)c1ccc(C(=O)O)cc1,3.63,4.02,CCOP(=O)(OCC)c1ccc(C(=O)O)cc1
12,CCOP(=O)(OCC)c1cccc(C(=O)O)c1,3.73,3.85,CCOP(=O)(OCC)c1cccc(C(=O)O)c1
13,CCOc1ccc(C(=O)O)c(C(=O)O)c1,2.74,3.69,CCOc1ccc(C(=O)O)c(C(=O)O)c1
14,CCOc1ccc(C(=O)O)c(O)c1,3.2,3.48,CCOc1ccc(C(=O)O)c(O)c1
15,CN(C)c1ccc(/N=N/c2ccccc2C(=O)O)cc1,4.82,2.73,CN(C)c1ccc(/N=N/c2ccccc2C(=O)O)cc1
16,CNc1cccc(C(=O)O)c1,5.1,4.43,CNc1cccc(C(=O)O)c1
17,COP(=O)(OC)c1ccc(C(=O)O)cc1,3.61,3.99,COP(=O)(OC)c1ccc(C(=O)O)cc1
18,COP(=O)(OC)c1cccc(C(=O)O)c1,3.74,3.84,COP(=O)(OC)c1cccc(C(=O)O)c1
19,COc1cc([N+](=O)[O-])cc(C(=O)O)c1O,2.58,1.96,COc1cc([N+](=O)[O-])cc(C(=O)O)c1O
20,COc1ccc(C(=O)O)c(C(=O)O)c1,2.67,3.63,COc1ccc(C(=O)O)c(C(=O)O)c1
21,COc1ccc(C=O)c(C(=O)O)c1OC,3.065,3.29,COc1ccc(C=O)c(C(=O)O)c1OC
22,C[S+](C)c1ccc(C(=O)O)cc1,3.3,3.82,C[S+](C)c1ccc(C(=O)O)cc1
23,C[S+](C)c1cccc(C(=O)O)c1,3.2,3.52,C[S+](C)c1cccc(C(=O)O)c1
24,C[Si](C)(C)c1ccc(C(=O)O)cc1,4.234,4.11,C[Si](C)(C)c1ccc(C(=O)O)cc1
25,C[Si](C)(C)c1cccc(C(=O)O)c1,4.1645,4.02,C[Si](C)(C)c1cccc(C(=O)O)c1
26,Cc1cc(C(=O)O)c2ccccc2c1,3.72,3.91,Cc1cc(C(=O)O)c2ccccc2c1
27,Cc1cc(C(=O)O)cc(C)c1C,4.52,4.24,Cc1cc(C(=O)O)cc(C)c1C
28,Cc1cc(C)c(C)c(C(=O)O)c1,4.01,3.64,Cc1cc(C)c(C)c(C(=O)O)c1
29,Cc1cc(C)c(C)c(C(=O)O)c1C,3.416,3.48,Cc1cc(C)c(C)c(C(=O)O)c1C
30,Cc1cc([N+](=O)[O-])c(C)c(C(=O)O)c1O,2.78,2.42,Cc1cc([N+](=O)[O-])c(C)c(C(=O)O)c1O
