Smiles,pKa,predicted_pKa,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error
C=C(C)c1ccc(C(=O)O)cc1,4.04,4.13,C=C(C)c1ccc(C(=O)O)cc1,162.188,2.4179,37.3,1,1,2,1,0.1,0,0,1,0,1,0,2,1,0,
C=CCc1ccc(C(=O)O)cc1,4.34,4.31,C=CCc1ccc(C(=O)O)cc1,162.188,2.1133,37.3,1,1,3,1,0.1,0,0,1,0,1,0,2,1,0,
C=CCc1cccc(C(=O)O)c1,4.32,4.02,C=CCc1cccc(C(=O)O)c1,162.188,2.1133,37.3,1,1,3,1,0.1,0,0,1,0,1,0,2,1,0,
CC(=O)Nc1cccc(C(=O)O)c1,4.03,4.42,CC(=O)Nc1cccc(C(=O)O)c1,179.175,1.3432,66.4,2,2,2,1,0.111111,0,0,1,0,1,0,2,1,0,
CC(=O)Oc1ccc(C(=O)O)cc1,3.92,4.51,CC(=O)Oc1ccc(C(=O)O)cc1,180.159,1.3101,63.6,3,1,2,1,0.111111,0,0,1,0,1,0,2,1,0,
CC(=O)Oc1ccccc1C(=O)O,3.38,3.84,CC(=O)Oc1ccccc1C(=O)O,180.159,1.3101,63.6,3,1,2,1,0.111111,0,0,1,0,1,0,2,1,0,
CC(=O)c1ccc(C(=O)O)cc1,3.7,3.88,CC(=O)c1ccc(C(=O)O)cc1,164.16,1.5874,54.37,2,1,2,1,0.111111,0,0,1,0,1,0,2,1,0,
CC(=O)c1cccc(C(=O)O)c1,3.827,3.84,CC(=O)c1cccc(C(=O)O)c1,164.16,1.5874,54.37,2,1,2,1,0.111111,0,0,1,0,1,0,2,1,0,
CC(=O)c1ccccc1C(=O)O,4.123,3.84,CC(=O)c1ccccc1C(=O)O,164.16,1.5874,54.37,2,1,2,1,0.111111,0,0,1,0,1,0,2,1,0,
CC(C)(C)c1ccc(C(=O)O)cc1,4.382,4.39,CC(C)(C)c1ccc(C(=O)O)cc1,178.231,2.6823,37.3,1,1,1,1,0.363636,0,0,1,0,1,0,2,1,0,
CC(C)(C)c1cccc(C(=O)O)c1,4.204,4.25,CC(C)(C)c1cccc(C(=O)O)c1,178.231,2.6823,37.3,1,1,1,1,0.363636,0,0,1,0,1,0,2,1,0,
CC(C)c1ccc(C(=O)O)cc1,4.36,4.31,CC(C)c1ccc(C(=O)O)cc1,164.204,2.5082,37.3,1,1,2,1,0.3,0,0,1,0,1,0,2,1,0,
CC(C)c1cccc(C(=O)O)c1O,2.76,3.18,CC(C)c1cccc(C(=O)O)c1O,180.203,2.2138,57.53,2,2,2,1,0.3,0,0,1,0,1,0,2,1,0,
CC=Cc1ccc(C(=O)O)cc1,4.49,4.07,CC=Cc1ccc(C(=O)O)cc1,162.188,2.4179,37.3,1,1,2,1,0.1,0,0,1,0,1,0,2,1,0,
CC=Cc1cccc(C(=O)O)c1,4.25,4.0,CC=Cc1cccc(C(=O)O)c1,162.188,2.4179,37.3,1,1,2,1,0.1,0,0,1,0,1,0,2,1,0,
CCCC(=O)c1ccccc1C(=O)O,4.45,3.88,CCCC(=O)c1ccccc1C(=O)O,192.214,2.3676,54.37,2,1,4,1,0.272727,0,0,1,0,1,0,2,1,0,
CCOC(=O)CNc1ccc(C(=O)O)cc1,4.88,4.52,CCOC(=O)CNc1ccc(C(=O)O)cc1,223.228,1.3598,75.63,4,2,5,1,0.272727,0,0,1,0,1,0,2,1,0,
CCOC(=O)CNc1cccc(C(=O)O)c1,4.3,4.42,CCOC(=O)CNc1cccc(C(=O)O)c1,223.228,1.3598,75.63,4,2,5,1,0.272727,0,0,1,0,1,0,2,1,0,
CCOP(=O)(OCC)c1ccc(C(=O)O)cc1,3.63,4.02,CCOP(=O)(OCC)c1ccc(C(=O)O)cc1,258.21,2.2762,72.83,4,1,6,1,0.363636,0,0,1,0,1,0,2,1,0,
