cas,smiles,input_canonical_smiles,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error
64-19-7,O=C(O)C,CC(=O)O,CC(=O)O,60.052,0.0909,37.3,1,1,0,0,0.5,0,0,1,0,1,0,2,1,0,
76-05-1,O=C(O)C(F)(F)F,O=C(O)C(F)(F)F,O=C(O)C(F)(F)F,114.022,0.6333,37.3,1,1,0,0,0.5,0,0,1,0,1,0,2,1,0,
56-40-6,O=C(O)CN,NCC(=O)O,NCC(=O)O,75.067,-0.9703,63.32,2,2,1,0,0.5,0,0,1,0,1,0,2,1,0,
72-19-5,O=C(O)C(N)C(O)C,CC(O)C(N)C(=O)O,CC(O)C(N)C(=O)O,119.12,-1.2209,83.55,3,3,2,0,0.75,0,0,1,0,1,0,2,1,0,
65-85-0,O=C(O)C=1C=CC=CC1,O=C(O)c1ccccc1,O=C(O)c1ccccc1,122.123,1.3848,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
56-41-7,O=C(O)C(N)C,CC(N)C(=O)O,CC(N)C(=O)O,89.094,-0.5818,63.32,2,2,1,0,0.666667,0,0,1,0,1,0,2,1,0,
144-62-7,O=C(O)C(=O)O,O=C(O)C(=O)O,O=C(O)C(=O)O,90.034,-0.8444,74.6,2,2,0,0,0.0,0,0,2,0,2,0,4,2,0,
76-03-9,O=C(O)C(Cl)(Cl)Cl,O=C(O)C(Cl)(Cl)Cl,O=C(O)C(Cl)(Cl)Cl,163.387,1.4412,37.3,1,1,0,0,0.5,0,0,1,0,1,0,2,1,0,
110-15-6,O=C(O)CCC(=O)O,O=C(O)CCC(=O)O,O=C(O)CCC(=O)O,118.088,-0.0642,74.6,2,2,3,0,0.5,0,0,2,0,2,0,4,2,0,
77-92-9,O=C(O)CC(O)(C(=O)O)CC(=O)O,O=C(O)CC(O)(CC(=O)O)C(=O)O,O=C(O)CC(O)(CC(=O)O)C(=O)O,192.123,-1.2485,132.13,4,4,5,0,0.5,0,0,3,0,3,0,6,3,0,
59-67-6,O=C(O)C=1C=NC=CC1,O=C(O)c1cccnc1,O=C(O)c1cccnc1,123.111,0.7798,50.19,2,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
69-72-7,O=C(O)C=1C=CC=CC1O,O=C(O)c1ccccc1O,O=C(O)c1ccccc1O,138.122,1.0904,57.53,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
60-33-3,O=C(O)CCCCCCCC=CCC=CCCCCC,CCCCCC=CCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,280.452,5.8845,37.3,1,1,14,0,0.722222,0,0,1,0,1,0,2,1,0,
87-69-4,O=C(O)C(O)C(O)C(=O)O,O=C(O)C(O)C(O)C(=O)O,O=C(O)C(O)C(O)C(=O)O,150.086,-2.1226,115.06,4,4,3,0,0.5,0,0,2,0,2,0,4,2,0,
6915-15-7,O=C(O)CC(O)C(=O)O,O=C(O)CC(O)C(=O)O,O=C(O)CC(O)C(=O)O,134.087,-1.0934,94.83,3,3,3,0,0.5,0,0,2,0,2,0,4,2,0,
56-12-2,O=C(O)CCCN,NCCCC(=O)O,NCCCC(=O)O,103.121,-0.1901,63.32,2,2,3,0,0.75,0,0,1,0,1,0,2,1,0,
79-14-1,O=C(O)CO,O=C(O)CO,O=C(O)CO,76.051,-0.9367,57.53,2,2,1,0,0.5,0,0,1,0,1,0,2,1,0,
60-00-4,O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,292.244,-2.0712,155.68,6,4,11,0,0.6,0,0,4,0,4,0,8,4,0,
60-32-2,O=C(O)CCCCCN,NCCCCCC(=O)O,NCCCCCC(=O)O,131.175,0.5901,63.32,2,2,5,0,0.833333,0,0,1,0,1,0,2,1,0,
99-96-7,O=C(O)C1=CC=C(O)C=C1,O=C(O)c1ccc(O)cc1,O=C(O)c1ccc(O)cc1,138.122,1.0904,57.53,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
150-13-0,O=C(O)C1=CC=C(N)C=C1,Nc1ccc(C(=O)O)cc1,Nc1ccc(C(=O)O)cc1,137.138,0.967,63.32,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
99-50-3,O=C(O)C1=CC=C(O)C(O)=C1,O=C(O)c1ccc(O)c(O)c1,O=C(O)c1ccc(O)c(O)c1,154.121,0.796,77.76,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,
1621-91-6,O=C(O)C1=NNC=C1,O=C(O)c1cc[nH]n1,O=C(O)c1cc[nH]n1,112.088,0.1079,65.98,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
107-95-9,O=C(O)CCN,NCCC(=O)O,NCCC(=O)O,89.094,-0.5802,63.32,2,2,2,0,0.666667,0,0,1,0,1,0,2,1,0,
331-39-5,O=C(O)C=CC1=CC=C(O)C(O)=C1,O=C(O)C=Cc1ccc(O)c(O)c1,O=C(O)C=Cc1ccc(O)c(O)c1,180.159,1.1956,77.76,3,3,2,1,0.0,0,0,1,0,1,0,2,1,0,
97-67-6,O=C(O)CC(O)C(=O)O,O=C(O)CC(O)C(=O)O,O=C(O)CC(O)C(=O)O,134.087,-1.0934,94.83,3,3,3,0,0.5,0,0,2,0,2,0,4,2,0,
50-78-2,O=C(O)C=1C=CC=CC1OC(=O)C,CC(=O)Oc1ccccc1C(=O)O,CC(=O)Oc1ccccc1C(=O)O,180.159,1.3101,63.6,3,1,2,1,0.111111,0,0,1,0,1,0,2,1,0,
556-50-3,O=C(O)CNC(=O)CN,NCC(=O)NCC(=O)O,NCC(=O)NCC(=O)O,132.119,-1.8541,92.42,3,3,3,0,0.5,0,0,1,0,1,0,2,1,0,
123-99-9,O=C(O)CCCCCCCC(=O)O,O=C(O)CCCCCCCC(=O)O,O=C(O)CCCCCCCC(=O)O,188.223,1.8863,74.6,2,2,8,0,0.777778,0,0,2,0,2,0,4,2,0,
490-79-9,O=C(O)C1=CC(O)=CC=C1O,O=C(O)c1cc(O)ccc1O,O=C(O)c1cc(O)ccc1O,154.121,0.796,77.76,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,
90-64-2,O=C(O)C(O)C=1C=CC=CC1,O=C(O)C(O)c1ccccc1,O=C(O)C(O)c1ccccc1,152.149,0.8046,57.53,2,2,2,1,0.125,0,0,1,0,1,0,2,1,0,
89-00-9,O=C(O)C1=NC=CC=C1C(=O)O,O=C(O)c1cccnc1C(=O)O,O=C(O)c1cccnc1C(=O)O,167.12,0.478,87.49,3,2,2,1,0.0,0,0,2,0,2,0,4,2,0,
55-22-1,O=C(O)C=1C=CN=CC1,O=C(O)c1ccncc1,O=C(O)c1ccncc1,123.111,0.7798,50.19,2,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
124-04-9,O=C(O)CCCCC(=O)O,O=C(O)CCCCC(=O)O,O=C(O)CCCCC(=O)O,146.142,0.716,74.6,2,2,5,0,0.666667,0,0,2,0,2,0,4,2,0,
