cas,smiles,input_canonical_smiles,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error
69-72-7,O=C(O)C=1C=CC=CC1O,O=C(O)c1ccccc1O,O=C(O)c1ccccc1O,138.122,1.0904,57.53,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
150-13-0,O=C(O)C1=CC=C(N)C=C1,Nc1ccc(C(=O)O)cc1,Nc1ccc(C(=O)O)cc1,137.138,0.967,63.32,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
90-64-2,O=C(O)C(O)C=1C=CC=CC1,O=C(O)C(O)c1ccccc1,O=C(O)C(O)c1ccccc1,152.149,0.8046,57.53,2,2,2,1,0.125,0,0,1,0,1,0,2,1,0,
874-24-8,O=C(O)C1=NC=CC=C1O,O=C(O)c1ncccc1O,O=C(O)c1ncccc1O,139.11,0.4854,70.42,3,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
303-38-8,O=C(O)C=1C=CC=C(O)C1O,O=C(O)c1cccc(O)c1O,O=C(O)c1cccc(O)c1O,154.121,0.796,77.76,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,
23945-44-0,O=C(O)C1=CNC(=O)NC1=O,O=C(O)c1c[nH]c(=O)[nH]c1=O,O=C(O)c1c[nH]c(=O)[nH]c1=O,156.097,-1.2386,103.02,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,
579-75-9,O=C(O)C=1C=CC=CC1OC,COc1ccccc1C(=O)O,COc1ccccc1C(=O)O,152.149,1.3934,46.53,2,1,2,1,0.125,0,0,1,0,1,0,2,1,0,
62-23-7,O=C(O)C1=CC=C(C=C1)N(=O)=O,O=C(O)c1ccc([N+](=O)[O-])cc1,O=C(O)c1ccc([N+](=O)[O-])cc1,167.12,1.293,80.44,3,1,2,1,0.0,0,0,1,0,1,0,2,1,0,
123-76-2,O=C(O)CCC(=O)C,CC(=O)CCC(=O)O,CC(=O)CCC(=O)O,116.116,0.4402,54.37,2,1,3,0,0.6,0,0,1,0,1,0,2,1,0,
516-05-2,O=C(O)C(C(=O)O)C,CC(C(=O)O)C(=O)O,CC(C(=O)O)C(=O)O,118.088,-0.2083,74.6,2,2,2,0,0.5,0,0,2,0,2,0,4,2,0,
586-89-0,O=C(O)C1=CC=C(C=C1)C(=O)C,CC(=O)c1ccc(C(=O)O)cc1,CC(=O)c1ccc(C(=O)O)cc1,164.16,1.5874,54.37,2,1,2,1,0.111111,0,0,1,0,1,0,2,1,0,
118-41-2,O=C(O)C1=CC(OC)=C(OC)C(OC)=C1,COc1cc(C(=O)O)cc(OC)c1OC,COc1cc(C(=O)O)cc(OC)c1OC,212.201,1.4106,64.99,4,1,4,1,0.3,0,0,1,0,1,0,2,1,0,
65-49-6,O=C(O)C1=CC=C(N)C=C1O,Nc1ccc(C(=O)O)c(O)c1,Nc1ccc(C(=O)O)c(O)c1,153.137,0.6726,83.55,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,
99-05-8,O=C(O)C=1C=CC=C(N)C1,Nc1cccc(C(=O)O)c1,Nc1cccc(C(=O)O)c1,137.138,0.967,63.32,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
94-53-1,O=C(O)C1=CC=C2OCOC2=C1,O=C(O)c1ccc2c(c1)OCO2,O=C(O)c1ccc2c(c1)OCO2,166.132,1.1135,55.76,3,1,1,1,0.125,0,0,1,0,1,0,2,1,0,
1132-21-4,O=C(O)C=1C=C(OC)C=C(OC)C1,COc1cc(OC)cc(C(=O)O)c1,COc1cc(OC)cc(C(=O)O)c1,182.175,1.402,55.76,3,1,3,1,0.222222,0,0,1,0,1,0,2,1,0,
934-60-1,O=C(O)C=1N=C(C=CC1)C,Cc1cccc(C(=O)O)n1,Cc1cccc(C(=O)O)n1,137.138,1.08822,50.19,2,1,1,1,0.142857,0,0,1,0,1,0,2,1,0,
1521-38-6,O=C(O)C=1C=CC=C(OC)C1OC,COc1cccc(C(=O)O)c1OC,COc1cccc(C(=O)O)c1OC,182.175,1.402,55.76,3,1,3,1,0.222222,0,0,1,0,1,0,2,1,0,
123-93-3,O=C(O)CSCC(=O)O,O=C(O)CSCC(=O)O,O=C(O)CSCC(=O)O,150.155,-0.1112,74.6,3,2,4,0,0.5,0,0,2,0,2,0,4,2,0,
614-19-7,O=C(O)CC(N)C=1C=CC=CC1,NC(CC(=O)O)c1ccccc1,NC(CC(=O)O)c1ccccc1,165.192,1.1611,63.32,2,2,3,1,0.222222,0,0,1,0,1,0,2,1,0,
590-93-2,O=C(O)C#CC,CC#CC(=O)O,CC#CC(=O)O,84.074,0.0943,37.3,1,1,0,0,0.25,0,0,1,0,1,0,2,1,0,
541-47-9,O=C(O)C=C(C)C,CC(C)=CC(=O)O,CC(C)=CC(=O)O,100.117,1.0372,37.3,1,1,1,0,0.4,0,0,1,0,1,0,2,1,0,
711-02-4,O=C(O)C12CCC(C(=O)O)(CC1)CC2,O=C(O)C12CCC(C(=O)O)(CC1)CC2,O=C(O)C12CCC(C(=O)O)(CC1)CC2,198.218,1.4962,74.6,2,2,2,0,0.8,0,0,2,0,2,0,4,2,0,
602-94-8,O=C(O)C=1C(F)=C(F)C(F)=C(F)C1F,O=C(O)c1c(F)c(F)c(F)c(F)c1F,O=C(O)c1c(F)c(F)c(F)c(F)c1F,212.073,2.0803,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
619-17-0,O=C(O)C1=CC=C(C=C1N)N(=O)=O,Nc1cc([N+](=O)[O-])ccc1C(=O)O,Nc1cc([N+](=O)[O-])ccc1C(=O)O,182.135,0.8752,106.46,4,2,2,1,0.0,0,0,1,0,1,0,2,1,0,
99-64-9,O=C(O)C1=CC=CC(=C1)N(C)C,CN(C)c1cccc(C(=O)O)c1,CN(C)c1cccc(C(=O)O)c1,165.192,1.4508,40.54,2,1,2,1,0.222222,0,0,1,0,1,0,2,1,0,
86-59-9,O=C(O)C1=CC=CC2=CC=CN=C21,O=C(O)c1cccc2cccnc12,O=C(O)c1cccc2cccnc12,173.171,1.933,50.19,2,1,1,2,0.0,0,0,1,0,1,0,2,1,0,
611-01-8,O=C(O)C1=CC=C(C=C1C)C,Cc1ccc(C(=O)O)c(C)c1,Cc1ccc(C(=O)O)c(C)c1,150.177,2.00164,37.3,1,1,1,1,0.222222,0,0,1,0,1,0,2,1,0,
91-52-1,O=C(O)C1=CC=C(OC)C=C1OC,COc1ccc(C(=O)O)c(OC)c1,COc1ccc(C(=O)O)c(OC)c1,182.175,1.402,55.76,3,1,3,1,0.222222,0,0,1,0,1,0,2,1,0,
619-19-2,O=C(O)C1=CC=C(C=C1O)N(=O)=O,O=C(O)c1ccc([N+](=O)[O-])cc1O,O=C(O)c1ccc([N+](=O)[O-])cc1O,183.119,0.9986,100.67,4,2,2,1,0.0,0,0,1,0,1,0,2,1,0,
141-82-2,O=C(O)CC(=O)O,O=C(O)CC(=O)O,O=C(O)CC(=O)O,104.061,-0.4543,74.6,2,2,2,0,0.333333,0,0,2,0,2,0,4,2,0,
381-73-7,O=C(O)C(F)F,O=C(O)C(F)F,O=C(O)C(F)F,96.032,0.3361,37.3,1,1,1,0,0.5,0,0,1,0,1,0,2,1,0,
2510-32-9,O=C(O)C=1OC=NC1C,Cc1ncoc1C(=O)O,Cc1ncoc1C(=O)O,127.099,0.68122,63.33,3,1,1,1,0.2,0,0,1,0,1,0,2,1,0,
3128-06-1,O=C(O)CCCC(=O)C,CC(=O)CCCC(=O)O,CC(=O)CCCC(=O)O,130.143,0.8303,54.37,2,1,4,0,0.666667,0,0,1,0,1,0,2,1,0,
10128-71-9,O=C(O)C=1C=CN=CC1O,O=C(O)c1ccncc1O,O=C(O)c1ccncc1O,139.11,0.4854,70.42,3,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
