SMILES,pka_value
O=C(O)c1ccccn1,5.49
O=C(O)c1ccccn1,5.39
O=C(O)c1ccccn1,5.37
O=C(O)c1cccnc1,4.82
O=C(O)c1cccnc1,4.73
O=C(O)c1ccncc1,4.84
O=C(O)c1ccncc1,4.89
Cc1cccc(C(=O)O)n1,5.83
Nc1c(NCC(=O)O)nc(Cl)nc1C(=O)O,4.48
CN(C)c1nc(NCC(=O)O)c(N)c(C(=O)O)n1,9.85
CN(C)c1nc(NCC(=O)O)c(N)c(C(=O)O)n1,9.77
CCOc1nc(NCC(=O)O)c(N)c(C(=O)O)n1,7.33
O=C(O)c1ccc2ccccc2n1,4.98
O=C(O)c1ccc2ccccc2n1,4.97
O=C(O)c1ccc2ncccc2c1,4.82
O=C(O)c1cccc2cccnc12,6.77
O=C(O)c1cccc2cccnc12,6.87
CN(C)c1nc2c(c(C(=O)O)n1)N=C(O)CN2,7.31
CCOc1nc2c(c(C(=O)O)n1)N=C(O)CN2,5.31
CN1CCC=C(C(=O)O)C1,9.07
CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](OC(=O)c1ccccc1)C2,11.8
CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](O)C2,10.91
CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](O)C2,11.15
CN1C2CCC1[C@H](C(=O)O)[C@@H](O)C2,9.7
C[C@H](N)C(=O)O,9.87
C[C@H](N)C(=O)O,9.87
C[C@H](N)C(=O)O,9.866
C[C@H](N)C(=O)O,9.75
C[C@H](N)C(=O)N[C@@H](C)C(=O)O,8.14
C[C@H](N)C(=O)N[C@@H](C)C(=O)O,8.3
C[C@H](N)C(=O)N[C@@H](C)C(=O)O,8.55
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,8.03
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,8.05
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,8.13
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,8.06
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,8.06
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,7.94
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,7.93
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,7.99
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,7.99
C[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)O,10.3
C[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)O,10.49
