SMILES,pka_value
NCCOS(=O)(=O)O,9.135
O=S(=O)(O)c1cc(I)c(O)c2ncccc12,2.514
O=[N+]([O-])c1ccc(N=Nc2cc(S(=O)(=O)O)c3cccnc3c2O)cc1,7.494
O=[N+]([O-])c1cc(S(=O)(=O)O)c2cccnc2c1O,5.75
O=S(=O)(O)c1cc(N=Nc2ccccc2)c(O)c2ncccc12,3.41
NCC(O)S(=O)(=O)O,9.175
NCCS(=O)(=O)O,9.0614
NCCS(=O)(=O)O,8.95
NCCS(=O)(=O)O,8.74
NCCS(=O)(=O)O,9.182
Nc1c(S(=O)(=O)O)ccc2ccccc12,1.71
Nc1cc(S(=O)(=O)O)cc2ccccc12,3.2
Nc1ccc(S(=O)(=O)O)c2ccccc12,2.81
Nc1cccc2c(S(=O)(=O)O)cccc12,3.69
Nc1cccc2cc(S(=O)(=O)O)ccc12,3.8
Nc1cccc2ccc(S(=O)(=O)O)cc12,3.66
Nc1cccc2cccc(S(=O)(=O)O)c12,5.03
Nc1ccc2ccccc2c1S(=O)(=O)O,2.35
Nc1cc(S(=O)(=O)O)c2ccccc2c1,3.7
Nc1ccc2c(S(=O)(=O)O)cccc2c1,3.96
Nc1ccc2cc(S(=O)(=O)O)ccc2c1,3.74
Nc1ccc2ccc(S(=O)(=O)O)cc2c1,3.95
Nc1ccc2cccc(S(=O)(=O)O)c2c1,3.89
Nc1ccccc1S(=O)(=O)O,2.4592
Nc1cccc(S(=O)(=O)O)c1,3.7381
Nc1cccc(S(=O)(=O)O)c1,3.69
Nc1ccc(S(=O)(=O)O)cc1,3.2273
Nc1ccc(S(=O)(=O)O)cc1,3.21
N[C@@H](CS(=O)(=O)O)C(=O)O,1.89
CC(C)(C)c1ccc(S(=O)(=O)O)c(C(C)(C)C)n1,4.12
Cc1ccc(S(=O)(=O)O)c(C)n1,4.89
Cc1cc(S(=O)(=O)O)cc(C)n1,5.09
O=S(=O)(O)c1ccccn1,1.75
O=S(=O)(O)c1cccnc1,3.22
O=S(=O)(O)c1ccncc1,3.44
Cc1ccc2c(S(=O)(=O)O)cc(Br)c(O)c2n1,3.32
Cc1ccc2c(S(=O)(=O)O)ccc(O)c2n1,4.73
O=[N+]([O-])c1cc(S(=O)(=O)O)c2cccnc2c1O,5.62
O=S(=O)(O)c1cccc2ncc(O)cc12,4.09
Cc1ccc2c(S(=O)(=O)O)cc([N+](=O)[O-])c(O)c2n1,6.24
Cc1ccc(S(=O)(=O)O)cc1N,3.6323
Cc1cc(S(=O)(=O)O)ccc1N,3.1264
NNc1ccccc1S(=O)(=O)O,2.33
NNc1cccc(S(=O)(=O)O)c1,2.43
NNc1ccc(S(=O)(=O)O)cc1,2.61
CS(=O)(=O)O,-1.86
CS(=O)(=O)O,-1.2
O=c1cc(S(=O)(=O)O)[nH]c(=O)[nH]1,7.26
O=C1C(O)=C(S(=O)(=O)O)C(=O)C(O)=C1S(=O)(=O)O,0.75
Nc1ccccc1S(=O)(=O)O,2.49
Nc1cccc(S(=O)(=O)O)c1,3.75
Nc1cccc(S(=O)(=O)O)c1,3.738
Nc1ccc(S(=O)(=O)O)cc1,3.25
Nc1ccc(S(=O)(=O)O)cc1,3.228
O=S(=O)(O)C(O)c1ccccn1,4.05
O=S(=O)(O)C(O)c1cccnc1,4.6
O=S(=O)(O)C(O)c1ccncc1,4.95
O=C(NCCS(=O)(=O)O)C(=S)NCCS(=O)(=O)O,11.97
Cc1ccc(S(=O)(=O)O)cc1,-1.34
O=Nc1c(O)cc(S(=O)(=O)O)c2cn[nH]c12,5.85
O=Nc1cc(S(=O)(=O)O)c2cn[nH]c2c1O,6.35
O=Nc1c(S(=O)(=O)O)cc(O)c2[nH]ncc12,8.6
O=Nc1c(S(=O)(=O)O)cc(O)c2cn[nH]c12,7.15
O=Nc1c(O)cc(S(=O)(=O)O)c2[nH]ncc12,7.75
O=S(=O)(O)c1c(O)ccc2[nH]ncc12,10.55
O=S(=O)(O)c1cc(O)cc2[nH]ncc12,8.85
O=S(=O)(O)c1ccc(O)c2[nH]ncc12,7.6
O=S(=O)(O)c1cc(O)c2[nH]ncc2c1,8
O=S(=O)(O)c1cc(O)c2cn[nH]c2c1,8.1
O=S(=O)(O)c1ccc(O)c2cn[nH]c12,7.6
O=S(=O)(O)c1cc(O)cc2cn[nH]c12,9.65
O=S(=O)(O)c1c(O)ccc2cn[nH]c12,9.45
O=S(=O)(O)c1cc2cn[nH]c2c(S(=O)(=O)O)c1O,9.4
O=S(=O)(O)CCc1ccccn1,5.14
Cc1cccc(C(O)S(=O)(=O)O)n1,4.83
O=S(=O)(O)c1ccc2cccnc2c1O,4.27
O=S(=O)(O)c1ccc2cccnc2c1O,3.34
O=S(=O)(O)c1cc(Cl)c(O)c2ncccc12,2.91
O=S(=O)(O)c1cc(Cl)c2cccnc2c1O,3.87
O=S(=O)(O)c1cc(Cl)c2cccnc2c1O,2.29
O=S(=O)(O)c1cc(Br)c(O)c2ncccc12,3.22
O=S(=O)(O)c1cc(Br)c2cccnc2c1O,4.08
O=S(=O)(O)c1cc(Br)c2cccnc2c1O,3.05
O=S(=O)(O)c1cc(I)c(O)c2ncccc12,2.22
O=S(=O)(O)c1cc(I)c(O)c2ncccc12,2.5
O=S(=O)(O)c1cc(I)c(O)c2ncccc12,2.41
O=S(=O)(O)c1cc(I)c(O)c2ncccc12,2.96
O=S(=O)(O)c1cc(I)c2cccnc2c1O,4.17
O=S(=O)(O)c1cc(I)c2cccnc2c1O,2.99
O=Nc1ccc2c(S(=O)(=O)O)cccc2c1O,7.32
O=Nc1c(O)ccc2cc(S(=O)(=O)O)ccc12,7.6
Cc1ccc2c(S(=O)(=O)O)ccc(O)c2n1,4.63
O=S(=O)(O)c1ccc(N=NN(O)c2ccccc2)cc1,9.99
O=S(=O)(O)c1ccc2c(N=Nc3nccs3)c(O)ccc2c1,8.38
O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)O)cc2)ccc1O,2.38
O=S(=O)(O)C(N=Nc1ccccc1)=NNc1ccccc1,-0.92
O=C1c2ccccc2C(=O)c2c(O)c(S(=O)(=O)O)cc(O)c21,7.73
O=S(=O)(O)c1ccc2c(N=Nc3nc4ccccc4s3)c(O)ccc2c1,8.41
O=P(O)(O)c1ccccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccc(Cl)cc3P(=O)(O)O)c(O)c2c1O,-2
