cas,smiles,canonical_smiles
64-19-7,O=C(O)C,CC(=O)O
76-05-1,O=C(O)C(F)(F)F,O=C(O)C(F)(F)F
56-40-6,O=C(O)CN,NCC(=O)O
72-19-5,O=C(O)C(N)C(O)C,CC(O)C(N)C(=O)O
65-85-0,O=C(O)C=1C=CC=CC1,O=C(O)c1ccccc1
56-41-7,O=C(O)C(N)C,CC(N)C(=O)O
144-62-7,O=C(O)C(=O)O,O=C(O)C(=O)O
76-03-9,O=C(O)C(Cl)(Cl)Cl,O=C(O)C(Cl)(Cl)Cl
110-15-6,O=C(O)CCC(=O)O,O=C(O)CCC(=O)O
77-92-9,O=C(O)CC(O)(C(=O)O)CC(=O)O,O=C(O)CC(O)(CC(=O)O)C(=O)O
59-67-6,O=C(O)C=1C=NC=CC1,O=C(O)c1cccnc1
69-72-7,O=C(O)C=1C=CC=CC1O,O=C(O)c1ccccc1O
60-33-3,O=C(O)CCCCCCCC=CCC=CCCCCC,CCCCCC=CCC=CCCCCCCCC(=O)O
87-69-4,O=C(O)C(O)C(O)C(=O)O,O=C(O)C(O)C(O)C(=O)O
6915-15-7,O=C(O)CC(O)C(=O)O,O=C(O)CC(O)C(=O)O
56-12-2,O=C(O)CCCN,NCCCC(=O)O
79-14-1,O=C(O)CO,O=C(O)CO
60-00-4,O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O
60-32-2,O=C(O)CCCCCN,NCCCCCC(=O)O
99-96-7,O=C(O)C1=CC=C(O)C=C1,O=C(O)c1ccc(O)cc1
150-13-0,O=C(O)C1=CC=C(N)C=C1,Nc1ccc(C(=O)O)cc1
99-50-3,O=C(O)C1=CC=C(O)C(O)=C1,O=C(O)c1ccc(O)c(O)c1
1621-91-6,O=C(O)C1=NNC=C1,O=C(O)c1cc[nH]n1
107-95-9,O=C(O)CCN,NCCC(=O)O
331-39-5,O=C(O)C=CC1=CC=C(O)C(O)=C1,O=C(O)C=Cc1ccc(O)c(O)c1
97-67-6,O=C(O)CC(O)C(=O)O,O=C(O)CC(O)C(=O)O
50-78-2,O=C(O)C=1C=CC=CC1OC(=O)C,CC(=O)Oc1ccccc1C(=O)O
556-50-3,O=C(O)CNC(=O)CN,NCC(=O)NCC(=O)O
123-99-9,O=C(O)CCCCCCCC(=O)O,O=C(O)CCCCCCCC(=O)O
490-79-9,O=C(O)C1=CC(O)=CC=C1O,O=C(O)c1cc(O)ccc1O
90-64-2,O=C(O)C(O)C=1C=CC=CC1,O=C(O)C(O)c1ccccc1
89-00-9,O=C(O)C1=NC=CC=C1C(=O)O,O=C(O)c1cccnc1C(=O)O
55-22-1,O=C(O)C=1C=CN=CC1,O=C(O)c1ccncc1
124-04-9,O=C(O)CCCCC(=O)O,O=C(O)CCCCC(=O)O
338-69-2,O=C(O)C(N)C,CC(N)C(=O)O
874-24-8,O=C(O)C1=NC=CC=C1O,O=C(O)c1ncccc1O
107-97-1,O=C(O)CNC,CNCC(=O)O
149-91-7,O=C(O)C1=CC(O)=C(O)C(O)=C1,O=C(O)c1cc(O)c(O)c(O)c1
634-97-9,O=C(O)C1=CC=CN1,O=C(O)c1ccc[nH]1
121-34-6,O=C(O)C1=CC=C(O)C(OC)=C1,COc1cc(C(=O)O)ccc1O
611-71-2,O=C(O)C(O)C=1C=CC=CC1,O=C(O)C(O)c1ccccc1
100-09-4,O=C(O)C1=CC=C(OC)C=C1,COc1ccc(C(=O)O)cc1
99-10-5,O=C(O)C=1C=C(O)C=C(O)C1,O=C(O)c1cc(O)cc(O)c1
303-38-8,O=C(O)C=1C=CC=C(O)C1O,O=C(O)c1cccc(O)c1O
23945-44-0,O=C(O)C1=CNC(=O)NC1=O,O=C(O)c1c[nH]c(=O)[nH]c1=O
98-98-6,O=C(O)C1=NC=CC=C1,O=C(O)c1ccccn1
86-87-3,O=C(O)CC1=CC=CC=2C=CC=CC21,O=C(O)Cc1cccc2ccccc12
6089-09-4,O=C(O)CCC#C,C#CCCC(=O)O
24065-33-6,O=C(O)C=1SC(Cl)=CC1,O=C(O)c1ccc(Cl)s1
530-57-4,O=C(O)C1=CC(OC)=C(O)C(OC)=C1,COc1cc(C(=O)O)cc(OC)c1O
619-66-9,O=CC1=CC=C(C=C1)C(=O)O,O=Cc1ccc(C(=O)O)cc1
579-75-9,O=C(O)C=1C=CC=CC1OC,COc1ccccc1C(=O)O
150-25-4,O=C(O)CN(CCO)CCO,O=C(O)CN(CCO)CCO
93-07-2,O=C(O)C1=CC=C(OC)C(OC)=C1,COc1ccc(C(=O)O)cc1OC
93-10-7,O=C(O)C=1N=C2C=CC=CC2=CC1,O=C(O)c1ccc2ccccc2n1
99-94-5,O=C(O)C1=CC=C(C=C1)C,Cc1ccc(C(=O)O)cc1
74-11-3,O=C(O)C1=CC=C(Cl)C=C1,O=C(O)c1ccc(Cl)cc1
62-23-7,O=C(O)C1=CC=C(C=C1)N(=O)=O,O=C(O)c1ccc([N+](=O)[O-])cc1
62-57-7,O=C(O)C(N)(C)C,CC(C)(N)C(=O)O
586-76-5,O=C(O)C1=CC=C(Br)C=C1,O=C(O)c1ccc(Br)cc1
104-01-8,O=C(O)CC1=CC=C(OC)C=C1,COc1ccc(CC(=O)O)cc1
501-52-0,O=C(O)CCC=1C=CC=CC1,O=C(O)CCc1ccccc1
50-84-0,O=C(O)C1=CC=C(Cl)C=C1Cl,O=C(O)c1ccc(Cl)cc1Cl
581-96-4,O=C(O)CC=1C=CC=2C=CC=CC2C1,O=C(O)Cc1ccc2ccccc2c1
111-16-0,O=C(O)CCCCCC(=O)O,O=C(O)CCCCCC(=O)O
771-50-6,O=C(O)C1=CNC=2C=CC=CC21,O=C(O)c1c[nH]c2ccccc12
879-65-2,O=C(O)C1=NC2=CC=CC=C2N=C1,O=C(O)c1cnc2ccccc2n1
594-61-6,O=C(O)C(O)(C)C,CC(C)(O)C(=O)O
1492-24-6,O=C(O)C(N)CC,CCC(N)C(=O)O
118-91-2,O=C(O)C=1C=CC=CC1Cl,O=C(O)c1ccccc1Cl
306-08-1,O=C(O)CC1=CC=C(O)C(OC)=C1,COc1cc(CC(=O)O)ccc1O
123-76-2,O=C(O)CCC(=O)C,CC(=O)CCC(=O)O
516-05-2,O=C(O)C(C(=O)O)C,CC(C(=O)O)C(=O)O
586-89-0,O=C(O)C1=CC=C(C=C1)C(=O)C,CC(=O)c1ccc(C(=O)O)cc1
118-41-2,O=C(O)C1=CC(OC)=C(OC)C(OC)=C1,COc1cc(C(=O)O)cc(OC)c1OC
89-86-1,O=C(O)C1=CC=C(O)C=C1O,O=C(O)c1ccc(O)cc1O
65-49-6,O=C(O)C1=CC=C(N)C=C1O,Nc1ccc(C(=O)O)c(O)c1
7254-19-5,O=C(O)C1=CC=2C=C(Br)C=CC2N1,O=C(O)c1cc2cc(Br)ccc2[nH]1
556-33-2,O=C(O)CNC(=O)CNC(=O)CN,NCC(=O)NCC(=O)NCC(=O)O
