cas,smiles
7365-45-9,O=S(=O)(O)CCN1CCN(CCO)CC1
1132-61-2,O=S(=O)(O)CCCN1CCOCC1
75-75-2,O=S(=O)(O)C
107-35-7,O=S(=O)(O)CCN
121-57-3,O=S(=O)(O)C1=CC=C(N)C=C1
3144-16-9,O=C1CC2CCC1(CS(=O)(=O)O)C2(C)C
5625-37-6,O=S(=O)(O)CCN1CCN(CC1)CCS(=O)(=O)O
1135-40-6,O=S(=O)(O)CCCNC1CCCCC1
4432-31-9,O=S(=O)(O)CCN1CCOCC1
27503-81-7,O=S(=O)(O)C1=CC=C2N=C(NC2=C1)C=3C=CC=CC3
3687-18-1,O=S(=O)(O)CCCN
5872-08-2,O=C1CC2CCC1(CS(=O)(=O)O)C2(C)C
4065-45-6,O=C(C=1C=CC=CC1)C=2C=C(C(OC)=CC2O)S(=O)(=O)O
116-63-2,O=S(=O)(O)C1=CC(O)=C(N)C=2C=CC=CC21
636-73-7,O=S(=O)(O)C=1C=NC=CC1
29915-38-6,O=S(=O)(O)CCCNC(CO)(CO)CO
7365-44-8,O=S(=O)(O)CCNC(CO)(CO)CO
98-71-5,O=S(=O)(O)C1=CC=C(C=C1)NN
10191-18-1,O=S(=O)(O)CCN(CCO)CCO
15471-17-7,O=S(=O)([O-])CCC[N+]=1C=CC=CC1
14605-22-2,O=C(NCCS(=O)(=O)O)CCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C
15214-89-8,O=C(C=C)NC(C)(C)CS(=O)(=O)O
7365-82-4,O=C(N)CNCCS(=O)(=O)O
103-47-9,O=S(=O)(O)CCNC1CCCCC1
35963-20-3,O=C1CC2CCC1(CS(=O)(=O)O)C2(C)C
16052-06-5,O=S(=O)(O)CCCN1CCN(CCO)CC1
594-45-6,O=S(=O)(O)CC
98-11-3,O=S(=O)(O)C=1C=CC=CC1
88-21-1,O=S(=O)(O)C=1C=CC=CC1N
121-47-1,O=S(=O)(O)C=1C=CC=C(N)C1
107-68-6,O=S(=O)(O)CCNC
82-76-8,O=S(=O)(O)C1=CC=CC2=CC=CC(NC=3C=CC=CC3)=C21
1493-13-6,O=S(=O)(O)C(F)(F)F
375-73-5,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
14933-08-5,O=S(=O)([O-])CCC[N+](C)(C)CCCCCCCCCCCC
40828-54-4,O=S(=O)(O)C1=NC=2C=CC=CC2N1
51498-37-4,O=S(=O)(O)C=1C=NC=CC1O
27655-40-9,O=S(=O)(O)C1=CC=CC=2C=NC=CC21
14933-09-6,O=S(=O)([O-])CCC[N+](C)(C)CCCCCCCCCCCCCC
15163-36-7,O=S(=O)([O-])CCC[N+](C)(C)CCCCCCCCCC
15103-48-7,O=S(=O)(O)C1=NC=CC=C1
13244-33-2,O=S(=O)(O)C1=CC(OC)=CC=C1N
82-75-7,O=S(=O)(O)C1=CC=CC=2C=CC=C(N)C21
119-79-9,O=S(=O)(O)C=1C=CC=2C(N)=CC=CC2C1
50402-56-7,O=S(=O)(O)C=1C=CC=C2C(=CC=CC21)NCCN
98-66-8,O=S(=O)(O)C1=CC=C(Cl)C=C1
84-86-6,O=S(=O)(O)C1=CC=C(N)C=2C=CC=CC21
89-36-1,O=C1N(N=C(C)C1)C2=CC=C(C=C2)S(=O)(=O)O
81-05-0,O=S(=O)(O)C1=CC=CC2=CC(N)=CC=C21
68399-81-5,O=S(=O)(O)CC(O)CNC(CO)(CO)CO
104-15-4,O=S(=O)(O)C1=CC=C(C=C1)C
609-54-1,O=S(=O)(O)C1=CC(=CC=C1C)C
63149-24-6,O=S(=O)([O-])CCCC[N+]=1C=2C=CC=3C=CC=CC3C2C(C1C)(C)C
98-67-9,O=S(=O)(O)C1=CC=C(O)C=C1
543-18-0,O=S(=O)(O)CCNC(=N)N
84-89-9,O=S(=O)(O)C=1C=CC=C2C(N)=CC=CC21
68399-77-9,O=S(=O)(O)CC(O)CN1CCOCC1
81-16-3,O=S(=O)(O)C1=C(N)C=CC=2C=CC=CC21
2281-11-0,O=S(=O)([O-])CCC[N+](C)(C)CCCCCCCCCCCCCCCC
93-00-5,O=S(=O)(O)C1=CC=C2C=C(N)C=CC2=C1
107-36-8,O=S(=O)(O)CCO
88-61-9,O=S(=O)(O)C1=CC=C(C=C1C)C
98-37-3,O=S(=O)(O)C1=CC=C(O)C(N)=C1
81-11-8,O=S(=O)(O)C1=CC(N)=CC=C1C=CC2=CC=C(N)C=C2S(=O)(=O)O
